X,Y,id,left_fm,right_fm,min_offset,strat_offset
607080.92267586,7448932.884089099,Fault_5454,Bunjinah_Formation,Bunjinah_Formation,0.0,000
607768.6048485651,7448750.889637494,Fault_5454,Bunjinah_Formation,Jeerinah_Formation,620.0,002
608133.10522168,7448654.36013689,Fault_5454,Jeerinah_Formation,Jeerinah_Formation,0.0,000
609818.822311805,7448036.455903955,Fault_5454,Jeerinah_Formation,Jeerinah_Formation,0.0,000
611880.9515368149,7447232.5160609055,Fault_5454,Jeerinah_Formation,Jeerinah_Formation,0.0,000
612704.4957317801,7446895.2005418,Fault_5454,Fortescue_Group,Jeerinah_Formation,0.0,001
612995.81613796,7446775.69541782,Fault_5454,Jeerinah_Formation,Jeerinah_Formation,0.0,000
613133.3316644051,7446720.48353559,Fault_5454,Jeerinah_Formation,Fortescue_Group,0.0,001
613380.485993495,7446623.49837049,Fault_5454,Jeerinah_Formation,Fortescue_Group,0.0,001
613985.554040735,7446389.000075015,Fault_5454,Jeerinah_Formation,Jeerinah_Formation,0.0,000
614471.47498108,7446201.179711025,Fault_5454,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
614552.066192965,7446169.43980884,Fault_5454,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
614839.0956094649,7446051.559730175,Fault_5454,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
615128.06056285,7445932.32567157,Fault_5454,Marra_Mamba_Iron_Formation,Brockman_Iron_Formation,332.0,003
615234.6754708849,7445888.33062912,Fault_5454,Wittenoom_Formation,Brockman_Iron_Formation,143.0,002
615353.185162085,7445844.58920742,Fault_5454,Wittenoom_Formation,Brockman_Iron_Formation,143.0,002
615677.25040131,7445752.109075595,Fault_5454,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Brockman_Iron_Formation,0.0,001
616173.0192271201,7445654.39886293,Fault_5454,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Brockman_Iron_Formation,0.0,001
616612.8358860749,7445619.68131749,Fault_5454,Brockman_Iron_Formation,Brockman_Iron_Formation,0.0,000
525626.0109707958,7421590.911618288,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
524402.94525169,7422598.68558494,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
521579.17521878,7424801.11878392,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
518395.72724874003,7427105.127597725,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
516537.95216582,7428223.328457475,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
515179.44016959,7428934.955759435,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
513523.935007505,7429680.523737811,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
512242.0789311802,7430248.694602881,Fault_6359,Ashburton_Formation,Ashburton_Formation,0.0,000
535603.17017733,7437206.46635722,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
533692.3213105,7437716.936779445,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
531035.409155465,7438455.07032932,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
528353.171724985,7439192.808367645,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
525695.9657741201,7440065.613020346,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
523214.169200985,7440991.959372841,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
520857.60866983,7442026.170828255,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
517899.19690892997,7443576.08764144,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
514564.23493608,7445532.69719524,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
512442.3019251452,7446840.748734517,Fault_6807,Duck_Creek_Dolomite,Duck_Creek_Dolomite,0.0,000
569005.617153235,7496995.918227355,Fault_6825,Jeerinah_Formation,Jeerinah_Formation,0.0,000
569337.15562011,7496726.1700722,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
569485.83945012,7496605.179786945,Fault_6825,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
569630.559596115,7496503.43924945,Fault_6825,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
570217.15484808,7496159.705896635,Fault_6825,Marra_Mamba_Iron_Formation,Wittenoom_Formation,0.0,001
571110.529112125,7495651.73696243,Fault_6825,Marra_Mamba_Iron_Formation,Wittenoom_Formation,0.0,001
571529.158292105,7495423.751064761,Fault_6825,Marra_Mamba_Iron_Formation,Mount_McRae_Shale_and_Mount_Sylvia_Formation,189.0,002
572388.14915373,7494897.260815825,Fault_6825,Marra_Mamba_Iron_Formation,Mount_McRae_Shale_and_Mount_Sylvia_Formation,189.0,002
574571.63058903,7493367.27992062,Fault_6825,Marra_Mamba_Iron_Formation,Mount_McRae_Shale_and_Mount_Sylvia_Formation,189.0,002
576516.8103162199,7491855.04516851,Fault_6825,Marra_Mamba_Iron_Formation,Mount_McRae_Shale_and_Mount_Sylvia_Formation,189.0,002
577485.90564781,7491041.554943865,Fault_6825,Marra_Mamba_Iron_Formation,Wittenoom_Formation,0.0,001
578518.5912534,7490132.064867426,Fault_6825,Marra_Mamba_Iron_Formation,Wittenoom_Formation,0.0,001
579395.5800519551,7489338.069265796,Fault_6825,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
580726.874699635,7487911.303212466,Fault_6825,Marra_Mamba_Iron_Formation,Marra_Mamba_Iron_Formation,0.0,000
582295.8348408099,7486200.03003603,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
583380.94906908,7485042.00531726,Fault_6825,Fortescue_Group,Marra_Mamba_Iron_Formation,620.0,002
584885.135601875,7483744.969488075,Fault_6825,Fortescue_Group,Marra_Mamba_Iron_Formation,620.0,002
586246.13578335,7483101.194836404,Fault_6825,Fortescue_Group,Jeerinah_Formation,0.0,001
587336.65831565,7483085.689501304,Fault_6825,Jeerinah_Formation,Jeerinah_Formation,0.0,000
588646.1023010849,7482960.689874969,Fault_6825,Fortescue_Group,Jeerinah_Formation,0.0,001
589815.807009085,7482774.18572791,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
590931.20595747,7482644.175509315,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
591824.9021259251,7482540.67512324,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
592165.9138649299,7482485.424861595,Fault_6825,Bunjinah_Formation,Fortescue_Group,0.0,001
592584.0850822451,7482418.422265666,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
593081.6526029999,7482297.16797596,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
593433.55089731,7482075.663961405,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
593828.92763318,7481637.422605085,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
594154.64322518,7481168.92870293,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
594302.99904488,7480942.17881505,Fault_6825,Pyradie_Formation,Bunjinah_Formation,0.0,001
594460.544376865,7480723.68546045,Fault_6825,Pyradie_Formation,Pyradie_Formation,0.0,000
594622.51040736,7480512.686203365,Fault_6825,Pyradie_Formation,Pyradie_Formation,0.0,000
594696.51588404,7480432.4355846755,Fault_6825,Boongal_Formation,Pyradie_Formation,0.0,001
594834.94745743,7480282.188570755,Fault_6825,Boongal_Formation,Boongal_Formation,0.0,000
595007.854950945,7480132.1900195405,Fault_6825,Boongal_Formation,Boongal_Formation,0.0,000
595283.7888937499,7479990.700807455,Fault_6825,Boongal_Formation,Boongal_Formation,0.0,000
595704.45109901,7479857.202740636,Fault_6825,Boongal_Formation,Boongal_Formation,0.0,000
596065.07848286,7479797.4491005745,Fault_6825,Hardey_Formation,Boongal_Formation,0.0,001
596597.2603157,7479709.205611059,Fault_6825,Hardey_Formation,Hardey_Formation,0.0,000
