index,X,Y,Z,formation
75,540971.02066699,7476877.07989872,458.0,Rocklea_Inlier_metagranitic_unit
76,539598.27840591,7477765.57024949,448.0,Rocklea_Inlier_metagranitic_unit
77,538346.57870325,7478761.55831537,437.0,Rocklea_Inlier_metagranitic_unit
78,536413.60194539,7479358.50150807,421.0,Rocklea_Inlier_metagranitic_unit
79,535973.35935345,7478417.47064393,419.0,Rocklea_Inlier_metagranitic_unit
80,537576.41909701,7478477.02245801,432.0,Rocklea_Inlier_metagranitic_unit
81,538745.52027745,7477462.02832475,441.0,Rocklea_Inlier_metagranitic_unit
82,537110.54042016,7477389.97284968,420.0,Rocklea_Inlier_metagranitic_unit
83,536428.58983392,7476462.40820376,430.0,Rocklea_Inlier_metagranitic_unit
84,536610.95903758,7474972.85881716,436.0,Rocklea_Inlier_metagranitic_unit
85,537437.90754403,7474983.37874796,438.0,Rocklea_Inlier_metagranitic_unit
86,537960.66886067,7475758.44080556,442.0,Rocklea_Inlier_metagranitic_unit
87,539061.57196156,7476092.99021689,451.0,Rocklea_Inlier_metagranitic_unit
88,540855.7583959,7476343.07302141,447.0,Rocklea_Inlier_metagranitic_unit
89,541224.68949075,7476335.55921922,447.0,Rocklea_Inlier_metagranitic_unit
90,544003.99001284,7477163.14045784,455.0,Rocklea_Inlier_metagranitic_unit
91,542990.09090526,7477900.64864228,467.0,Rocklea_Inlier_metagranitic_unit
92,541687.39900039,7478111.15142602,451.0,Rocklea_Inlier_metagranitic_unit
93,542769.0408119999,7476908.60916732,480.0,Rocklea_Inlier_metagranitic_unit
94,543275.31147864,7476384.10886607,462.0,Rocklea_Inlier_metagranitic_unit
95,543336.91083865,7475963.60162352,475.0,Rocklea_Inlier_metagranitic_unit
96,543401.18213688,7474773.06972595,458.0,Rocklea_Inlier_metagranitic_unit
97,544047.28837855,7474254.06990026,475.0,Rocklea_Inlier_metagranitic_unit
98,544614.65762966,7474531.08040002,448.0,Rocklea_Inlier_metagranitic_unit
99,544653.68097871,7474709.09855472,448.0,Rocklea_Inlier_metagranitic_unit
100,544669.61969176,7473027.55845657,448.0,Rocklea_Inlier_metagranitic_unit
101,541847.53985622,7472802.96003242,455.0,Rocklea_Inlier_metagranitic_unit
102,540163.87050434,7472034.39073035,438.0,Rocklea_Inlier_metagranitic_unit
103,540080.04992167,7471799.39822575,438.0,Rocklea_Inlier_metagranitic_unit
104,539834.19162728,7470916.38005782,447.0,Rocklea_Inlier_metagranitic_unit
105,539018.85015634,7469297.34120544,433.0,Rocklea_Inlier_metagranitic_unit
106,537831.35837896,7468323.79152147,443.0,Rocklea_Inlier_metagranitic_unit
107,535805.28640328,7475539.868359599,434.0,Rocklea_Inlier_metagranitic_unit
108,535611.56027553,7476240.90044947,430.0,Rocklea_Inlier_metagranitic_unit
109,535205.72806999,7476491.39883231,430.0,Rocklea_Inlier_metagranitic_unit
110,534711.97997234,7476971.41060094,412.0,Rocklea_Inlier_metagranitic_unit
111,534231.74792225,7476286.39100578,415.0,Rocklea_Inlier_metagranitic_unit
112,534587.30177917,7476163.87930148,427.0,Rocklea_Inlier_metagranitic_unit
113,534336.97158835,7475687.87084154,416.0,Rocklea_Inlier_metagranitic_unit
114,533569.06064451,7474679.82876288,421.0,Rocklea_Inlier_metagranitic_unit
115,534169.68955427,7473944.81766203,424.0,Rocklea_Inlier_metagranitic_unit
116,534924.68985956,7474895.34012237,423.0,Rocklea_Inlier_metagranitic_unit
117,535607.23004652,7475343.35990072,431.0,Rocklea_Inlier_metagranitic_unit
118,537833.39053655,7468177.28922757,427.0,Rocklea_Inlier_metagranitic_unit
119,536291.33981015,7468096.74972715,423.0,Rocklea_Inlier_metagranitic_unit
120,535998.38985508,7468015.25198655,423.0,Rocklea_Inlier_metagranitic_unit
121,535487.90916072,7467642.74985046,423.0,Rocklea_Inlier_metagranitic_unit
0,511975.4630899804,7508222.858492537,522.0,Brockman_Iron_Formation
1,514448.85151113,7508573.41882243,542.0,Brockman_Iron_Formation
2,515226.18203928,7508702.92974025,551.0,Brockman_Iron_Formation
3,517364.0103144,7509199.45866394,574.0,Brockman_Iron_Formation
4,523078.5568012842,7501405.148133703,569.0,Brockman_Iron_Formation
5,521225.2012418082,7501026.949760011,609.0,Brockman_Iron_Formation
6,521198.37658663094,7501022.685718563,609.0,Brockman_Iron_Formation
7,519976.91006078,7500799.46789149,641.0,Brockman_Iron_Formation
8,519631.44173262,7500691.46114408,641.0,Brockman_Iron_Formation
9,518847.7619360063,7499937.444814485,540.0,Brockman_Iron_Formation
10,518902.77789975354,7499692.309142197,540.0,Brockman_Iron_Formation
11,518636.6301317,7499603.94897934,524.0,Brockman_Iron_Formation
12,516752.10979200003,7498820.42116343,625.0,Brockman_Iron_Formation
13,542867.5277404693,7509272.83168071,822.0,Brockman_Iron_Formation
14,542145.9084492001,7508332.65926824,732.0,Brockman_Iron_Formation
15,541145.7601317001,7505676.14855006,709.0,Brockman_Iron_Formation
16,538364.25997959,7504113.66011445,859.0,Brockman_Iron_Formation
17,536989.17997103,7504051.15213942,737.0,Brockman_Iron_Formation
18,535926.55161838,7503894.65193591,773.0,Brockman_Iron_Formation
19,534488.93889665,7502207.12011758,580.0,Brockman_Iron_Formation
20,532415.328859181,7501872.491963997,653.0,Brockman_Iron_Formation
21,532120.3903023152,7502161.713867484,653.0,Brockman_Iron_Formation
22,531832.36921709,7502050.60151443,653.0,Brockman_Iron_Formation
23,528269.54911085,7501675.54946632,567.0,Brockman_Iron_Formation
24,515930.0685646937,7499036.925501812,560.0,Brockman_Iron_Formation
25,515699.65068941,7498844.91902979,630.0,Brockman_Iron_Formation
26,514965.43827583,7498453.41030448,721.0,Brockman_Iron_Formation
27,514221.5147028361,7498434.580688979,721.0,Brockman_Iron_Formation
28,513301.14005878,7498061.88151296,624.0,Brockman_Iron_Formation
29,512649.9913005568,7497966.294841972,641.0,Brockman_Iron_Formation
30,512631.3185826908,7497958.796085573,641.0,Brockman_Iron_Formation
31,512077.39835,7497645.87980624,619.0,Brockman_Iron_Formation
32,531899.2712418103,7461331.959531104,401.0,Marra_Mamba_Iron_Formation
