X,Y,Z,azimuth,dip,polarity,formation
514837.51677520503,7508638.17428134,542.,170.54084554344308,36.98802448484252,1,Brockman_Iron_Formation
520225.24460939004,7500853.469982956,641.,347.7316308790678,7.521107004885479,1,Brockman_Iron_Formation
518769.70401572675,7499648.129060768,540.,341.63400735825894,14.238372393684202,1,Brockman_Iron_Formation
542192.7832881149,7508488.910010615,732.,286.69911511907145,4.446061232841814,1,Brockman_Iron_Formation
541380.180791145,7505910.400110475,709.,315.0206725722142,9.329860394185602,1,Brockman_Iron_Formation
538708.0356038299,7504254.15476099,812.,337.7710867472701,9.701610805900927,1,Brockman_Iron_Formation
536098.4599742,7503988.39708473,773.,331.39546027697065,5.198661618111757,1,Brockman_Iron_Formation
534707.684401565,7502332.125551795,679.,330.2535385351397,9.911148411439953,1,Brockman_Iron_Formation
531976.3797597026,7502106.157690957,653.,338.9044559672948,23.30894563659527,1,Brockman_Iron_Formation
528457.06442511,7501722.55503403,554.,345.9273148340998,29.887303676785166,1,Brockman_Iron_Formation
512782.6690970704,7497998.083803397,641.,345.4482729357126,44.15942125515569,1,Brockman_Iron_Formation
514887.492124165,7497198.149452221,538.,337.78042078268703,32.75529605507635,1,Marra_Mamba_Iron_Formation
570750.2696728499,7478867.0058645345,672.,351.37686024993184,2.4847815081197666,1,Marra_Mamba_Iron_Formation
569718.6242514199,7477908.470244596,706.,267.7936393559727,2.1363323384114494,1,Marra_Mamba_Iron_Formation
570131.22466555,7476410.204722485,760.,277.8664784523599,4.215368906570134,1,Marra_Mamba_Iron_Formation
542046.054125795,7437962.645930154,396.,183.50078828543326,26.336274256693258,1,Marra_Mamba_Iron_Formation
543121.109663915,7437716.6602343805,432.,189.07148897502702,26.23965376727935,1,Marra_Mamba_Iron_Formation
544371.07539159,7437554.651941825,399.,198.95263557364956,27.05239039693943,1,Marra_Mamba_Iron_Formation
546462.976151985,7437366.89553299,488.,174.5735795304538,26.921223367807315,1,Marra_Mamba_Iron_Formation
547741.97861549,7437402.37849131,466.,172.37369779367305,26.840375499815444,1,Marra_Mamba_Iron_Formation
544898.0262480078,7437267.129763726,470.,5.492284443743017,27.02288724555156,1,Marra_Mamba_Iron_Formation
578911.76908835,7480206.4698593095,745.,355.7319246513372,23.126963827171565,1,Marra_Mamba_Iron_Formation
576791.984705785,7480253.52056838,749.,4.703647713317309,20.187597762887847,1,Marra_Mamba_Iron_Formation
574591.56967649,7480237.02635278,711.,358.13231255545435,15.893366407866381,1,Marra_Mamba_Iron_Formation
569586.9617182013,7430167.216296202,439.,210.14781467551416,17.927393871958387,1,Marra_Mamba_Iron_Formation
570572.6457025975,7430768.8070468465,425.,119.76000439008124,16.76443923109524,1,Marra_Mamba_Iron_Formation
571678.16876828,7431050.74008384,434.,170.5245934632892,13.012266452501635,1,Marra_Mamba_Iron_Formation
524481.7052583368,7500177.93601116,551.,352.5405148559508,17.78739709829567,1,Marra_Mamba_Iron_Formation
522718.39393876016,7499730.445537986,572.,5.661182285231632,8.069766353678176,1,Marra_Mamba_Iron_Formation
521252.41352454,7499683.96929651,537.,347.3700694255682,4.893043731062775,1,Marra_Mamba_Iron_Formation
519443.64390947926,7498686.751817351,521.,298.14327175593047,10.768406848573676,1,Marra_Mamba_Iron_Formation
539506.964836615,7437764.89108397,394.,195.18880637598443,26.471156089438686,1,Marra_Mamba_Iron_Formation
516761.37906923855,7498020.796989593,589.,304.87994129018904,24.12130153117353,1,Marra_Mamba_Iron_Formation
565690.7483182349,7427718.32864074,445.,208.8231883926968,24.908324610205497,1,Marra_Mamba_Iron_Formation
570250.6392835251,7496658.44478295,643.,199.20446322739042,29.846431285305208,1,Marra_Mamba_Iron_Formation
574005.7759689314,7495111.54779297,676.,204.43014786294157,15.289460339442826,1,Marra_Mamba_Iron_Formation
576983.32735552,7493020.04997233,782.,234.29443720203813,8.659841281885548,1,Marra_Mamba_Iron_Formation
578326.85522725,7492048.558774815,728.,221.97073838624567,11.120113547440383,1,Marra_Mamba_Iron_Formation
579976.044580225,7490489.80920166,734.,248.63186051490334,13.015724409627069,1,Marra_Mamba_Iron_Formation
580736.8889383799,7488675.0543400645,829.,242.15439264148722,20.244557892165204,1,Marra_Mamba_Iron_Formation
581896.8556194899,7487204.54079772,790.,261.91798694612976,21.312125273520095,1,Marra_Mamba_Iron_Formation
541139.5260350851,7491254.13892524,569.,133.91004225500348,18.480043357060083,1,Marra_Mamba_Iron_Formation
542068.0963111772,7491548.877200504,565.,203.14744763520048,15.851059215742268,1,Marra_Mamba_Iron_Formation
542755.8543134399,7492133.4036067445,574.,106.97672784857082,13.744814464411007,1,Marra_Mamba_Iron_Formation
543963.909843745,7492750.40993682,604.,166.21140023885698,9.39820002465187,1,Marra_Mamba_Iron_Formation
545359.67920943,7493382.411012584,562.,175.45158871358126,9.322612881608777,1,Marra_Mamba_Iron_Formation
547769.2238605251,7493245.173961345,544.,182.3865737661647,29.88554412066236,1,Marra_Mamba_Iron_Formation
549988.09013724,7493793.201207515,551.,143.14658977977274,44.80592931316467,1,Marra_Mamba_Iron_Formation
551779.17041637,7493984.219691521,558.,181.22904722106546,45.232307385990865,1,Marra_Mamba_Iron_Formation
554930.110308515,7493948.0053950045,598.,177.13456117454894,39.85549585011502,1,Marra_Mamba_Iron_Formation
556264.4642505767,7494500.310406448,590.,141.92708604435745,37.53530052217179,1,Marra_Mamba_Iron_Formation
557569.01962923,7495225.77688802,609.,152.0371103084051,31.643942530338215,1,Marra_Mamba_Iron_Formation
558361.8085088,7496106.019451685,636.,97.68117677170846,28.09715384444486,1,Marra_Mamba_Iron_Formation
560955.074450315,7496483.528797461,640.,137.99875047911127,18.29051488281422,1,Marra_Mamba_Iron_Formation
562465.04485512,7497064.037085135,602.,161.07366219760274,14.377398330388743,1,Marra_Mamba_Iron_Formation
565207.46373174,7497376.82985762,618.,193.9285540639828,20.70713999214776,1,Marra_Mamba_Iron_Formation
567905.300886675,7497012.38629596,632.,187.09281759242026,29.382615012872954,1,Marra_Mamba_Iron_Formation
578270.3161208241,7426018.132912587,609.,140.6593410441153,11.341575583191855,1,Marra_Mamba_Iron_Formation
579858.3437222149,7426715.210372525,550.,148.92604860292022,12.281805199339018,1,Marra_Mamba_Iron_Formation
580979.4686628799,7427812.745336629,538.,87.13022415874582,15.082237359775263,1,Marra_Mamba_Iron_Formation
581163.9188174349,7428320.228563815,481.,160.47634022017928,15.136118771835982,1,Marra_Mamba_Iron_Formation
581677.28038524,7428440.334467175,498.,184.8815373592456,16.38739630265934,1,Marra_Mamba_Iron_Formation
582479.91894284,7429600.315517426,533.,126.62431819842135,19.50081171838515,1,Marra_Mamba_Iron_Formation
583757.500339255,7431224.119976055,653.,140.7923379114722,24.144629433589117,1,Marra_Mamba_Iron_Formation
584760.08875894,7432359.66985147,547.,140.44980167534982,27.585813092328635,1,Marra_Mamba_Iron_Formation
586157.60917224,7432816.964420754,491.,159.5266820176206,31.011595883841025,1,Marra_Mamba_Iron_Formation
587038.9902589549,7433379.504521155,503.,112.09456713700013,33.21212253356409,1,Marra_Mamba_Iron_Formation
587153.0394391599,7434588.784108659,512.,80.95136334885126,34.48433375684979,1,Marra_Mamba_Iron_Formation
