X,Y,Z,azimuth,dip,polarity,formation
530221.47809184,7485474.50627725,431.0,368.0,55,1,Hardey_Formation
532604.36997523,7483996.51451291,420.0,370.0,40,1,Hardey_Formation
517457.70033702,7458696.32213231,469.0,379.0,10,1,Beasley_River_Quartzite
517003.60173976,7459101.83069976,332.0,407.0,45,1,Turee_Creek_Group
515576.38417024,7463869.89953907,381.0,179.0,44,1,Woongarra_Rhyolite
517245.24473593,7468866.88405918,383.0,387.0,70,1,Jeerinah_Formation
517900.42895537,7470203.39152653,373.0,387.0,51,1,Bunjinah_Formation
522143.04755332,7478175.84114015,389.0,93.0,30,1,Hardey_Formation
513171.07010965,7483067.28347653,441.0,138.0,15,1,Pyradie_Formation
522441.04068434,7500496.57253559,592.0,163.0,29,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
541065.40971783,7507289.30875077,647.0,137.0,26,1,Brockman_Iron_Formation
528702.09351822,7500732.15020471,568.0,110.0,41,1,Jeerinah_Formation
535346.60929794,7499105.69666818,519.0,175.0,40,1,Jeerinah_Formation
542840.13190584,7483390.16323959,513.0,374.0,35,1,Boongal_Formation
525820.9460544001,7481790.42211218,398.0,151.0,20,1,Hardey_Formation
524637.83778523,7473360.27406998,396.0,422.0,27,1,Hardey_Formation
543147.00860993,7470396.83694053,442.0,125.0,15,1,Hardey_Formation
540923.1197414,7464689.07660613,406.0,363.0,40,1,Pyradie_Formation
536338.31045942,7467537.1106654005,423.0,362.0,45,1,Mount_Roe_Basalt
529639.04213407,7466387.22108766,516.0,383.0,58,1,Boongal_Formation
530378.53979579,7460411.25246547,402.0,161.0,45,1,Jeerinah_Formation
522813.80336427,7459671.843148599,401.0,363.0,36,1,Jeerinah_Formation
545223.01655008,7475727.05264709,470.0,436.0,35,1,Hardey_Formation
547742.67588526,7479703.67071575,481.0,409.0,25,1,Hardey_Formation
545836.49343094,7478148.11843409,466.0,428.0,15,1,Hardey_Formation
550629.45033249,7482157.73377273,495.0,390.0,46,1,Pyradie_Formation
553784.61691641,7482787.75940606,516.0,390.0,40,1,Jeerinah_Formation
555570.30909452,7486441.29580547,542.0,382.0,50,1,Boolgeeda_Iron_Formation
554912.99402906,7485625.28562051,542.0,384.0,70,1,Weeli_Wolli_Formation
544406.7446958,7485143.19779223,567.0,379.0,50,1,Bunjinah_Formation
559180.0624804,7491409.85808041,582.0,168.0,48,1,Weeli_Wolli_Formation
554304.93348599,7496947.32598323,565.0,168.0,35,1,Jeerinah_Formation
545557.03288211,7494696.21808249,520.0,362.0,15,1,Jeerinah_Formation
562663.9448064,7506741.50979555,807.0,430.0,11,1,Bunjinah_Formation
568136.08559788,7495819.47677224,627.0,448.0,42,1,Wittenoom_Formation
575191.41155507,7498678.65102533,737.0,392.0,10,1,Bunjinah_Formation
583385.95782149,7491990.64495061,809.0,406.0,15,1,Jeerinah_Formation
574161.57746793,7481862.52758736,785.0,385.0,12,1,Brockman_Iron_Formation
573728.81307158,7483412.53957131,755.0,407.0,84,1,Brockman_Iron_Formation
578434.21399071,7470572.79411047,702.0,442.0,42,1,Jeerinah_Formation
584098.31303461,7468967.64082579,696.0,123.0,14,1,Pyradie_Formation
590638.75510051,7468628.17705614,675.0,443.0,10,1,Hardey_Formation
597151.78192189,7466721.69788408,673.0,388.0,10,1,Hardey_Formation
