GROUP_,id,x,y,z,code
Milli Milli Inlier metagranitc unit,4942,612680.60248182,7470692.8805369,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612433.85862219,7470954.88139476,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612162.40883075,7471382.86808079,582.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611909.53054949,7471702.38054124,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611681.77081773,7471951.88103201,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611384.07799098,7472208.38037449,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611048.34144419,7472470.88044662,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610307.390901,7473117.88876448,612.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610111.46005795,7473373.38029967,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609985.39037792,7473609.88863053,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609859.01116058,7473782.37828869,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609732.44098334,7473910.39126435,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609643.58154525,7473948.90177066,594.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609542.00144632,7473981.3912928,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609370.36174834,7474007.38879744,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609357.64048176,7474001.40031814,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,608878.51835275,7474108.89937682,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607953.48948556,7474695.93017215,593.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607633.28926904,7475069.42732488,600.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607490.98973549,7475353.94048152,600.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607490.99805813,7475745.44807606,600.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607579.9189627,7476029.94868712,600.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,607757.75832847,7476207.9598875,597.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,608113.54170667,7476367.94940903,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,608606.26190948,7476487.43119103,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,608861.26261102,7476607.43044634,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609166.88829652,7476681.92095784,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609389.53152461,7476693.41812936,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609567.06759209,7476590.42045657,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609674.8512291,7476513.91157089,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,609878.04135557,7476442.41174818,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610018.14827688,7476498.9125616,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610145.96026183,7476625.90007783,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610203.52891355,7476701.90051794,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610401.07969923,7476789.89954934,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610559.77874999,7476718.87935429,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610648.01944677,7476552.88866306,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610684.87004964,7476285.37952545,620.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610778.96923514,7476011.39024771,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611007.30046567,7475888.8803223,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611242.99192972,7475957.87840705,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611396.73068077,7476198.87119838,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611562.97979921,7476382.35937919,614.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611830.34250034,7476450.86239778,800.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612065.71770099,7476462.3496547,756.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612332.94108891,7476486.32919027,756.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612587.24981182,7476459.33969407,756.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612821.92989716,7476337.32871933,756.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612865.47866411,7476146.32661326,639.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612801.31031639,7476019.33131892,639.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612463.07170654,7475772.8383604,639.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612087.57080567,7475704.84937984,639.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611775.56976557,7475617.37114691,639.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611450.61792542,7475498.36936305,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611170.70934236,7475467.87049073,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610864.64806035,7475297.89259206,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,610818.62145088,7474986.36947709,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611090.94881936,7474749.39138006,606.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,611599.95020183,7474803.86748755,598.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612128.57901448,7474959.85936112,598.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,612676.1205343,7475103.3508681,598.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,613204.21801257,7475145.31956026,598.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,613751.86159627,7475294.74960137,598.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,614088.94981605,7475292.70877214,633.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,614706.02851236,7475315.11898025,633.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,4942,614795.07223897,7475314.61887887,637.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595340.77997391,7475216.88087953,649.,Milli_Milli_Inlier_metagranitc_unit
