X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
560950.9372643962,7446381.674242884,Fault_8749,-941,398,250.85596998964473
560950.9372643962,7446381.674242884,Fault_8749,-4064,1833,250.85596998964473
523022.8471972313,7453245.414785174,Fault_8752,1593,94,230.2812304651967
526578.9176727072,7448693.248956707,Fault_8752,1480,248,230.2812304651967
576639.8891712927,7444807.285640455,Fault_8909,873,224,168.97798262047002
577530.7070565013,7444877.232825629,Fault_8909,359,74,168.97798262047002
580047.2358840521,7445936.938571446,Fault_8909,9,1,168.97798262047002
581551.2366828993,7446474.339922393,Fault_8909,-2943,10,168.97798262047002
578383.1594950351,7432487.824190248,Fault_9173,253,39,235.5293350295751
528188.8935318975,7455739.136670519,Fault_9401,-479,163,210.51865309906313
520807.88345751597,7483226.614642705,Fault_10762,407,121,32.98260362507932
519367.0179990472,7484631.966606921,Fault_10762,326,82,32.98260362507932
517343.1510058386,7486066.428644905,Fault_10762,316,53,32.98260362507932
606740.5301909036,7421681.000752535,Fault_11396,-701,684,319.10049727407716
607394.145042647,7422247.161903415,Fault_11396,-1691,226,319.10049727407716
608295.979012996,7423028.228395747,Fault_11396,-1697,296,319.10049727407716
567721.4955256275,7495045.779102154,Fault_11442,22,1,223.2758534348591
563114.562017194,7454638.258847917,Fault_12611,2291,375,186.09052687033972
568066.0865993971,7454472.971354626,Fault_12611,10,4,186.09052687033972
582889.8840107971,7454369.50360405,Fault_12611,-1326,357,186.09052687033972
586651.4110556876,7454342.8082496775,Fault_12611,-2812,382,186.09052687033972
564753.1792202528,7495375.641290881,Fault_12642,94,12,226.59218504694925
566271.2553820101,7494874.8138029175,Fault_12642,35,2,226.59218504694925
568313.7462696728,7492810.897866738,Fault_12642,10,4,226.59218504694925
521226.7437436528,7501019.348697659,Fault_12647,18,0,56.97129327251198
522503.25198415585,7499743.033783241,Fault_12647,20,1,56.97129327251198
523309.28422204504,7498610.73675247,Fault_12647,-321,59,236.97129327251199
527745.9128882674,7489922.04405272,Fault_12647,1979,1084,56.97129327251198
528916.6969754916,7488164.817928361,Fault_12647,1034,636,56.97129327251198
529433.553626319,7487321.161513795,Fault_12647,-334,230,236.97129327251199
574385.9817510243,7425500.3919992875,Fault_14081,-955,127,47.99228076840604
576143.7330704317,7423650.8888156535,Fault_14081,21,1,227.99228076840603
513533.83629640506,7507153.002867543,Fault_14378,1285,438,234.6236441803624
514173.2860478195,7506804.427985646,Fault_14378,728,329,234.6236441803624
514976.0586838375,7505983.414695725,Fault_14378,923,549,234.6236441803624
515293.5646700362,7505416.037205647,Fault_14378,837,559,234.6236441803624
516593.87386186165,7502955.2027313365,Fault_14378,-650,262,234.6236441803624
516877.2340539912,7502579.885596918,Fault_14378,-781,318,234.6236441803624
517462.54061528476,7501864.779280794,Fault_14378,-380,162,234.6236441803624
517887.68713601766,7501227.408170024,Fault_14378,-141,49,234.6236441803624
518843.60105918435,7499933.980280012,Fault_14378,-264,67,234.6236441803624
518964.04012446385,7499545.462775478,Fault_14378,-192,46,234.6236441803624
519111.79645346996,7499068.717316837,Fault_14378,-285,53,234.6236441803624
519265.1859592209,7498661.066806187,Fault_14378,-316,56,234.6236441803624
519808.6602302139,7497367.688669377,Fault_14378,-1263,166,234.6236441803624
566638.6039289978,7447772.289612538,Fault_15340,1794,716,148.4851555119234
605431.232037808,7424372.088106599,Fault_15497,915,133,111.7054350274048
605101.8093995666,7423376.200293676,Fault_15497,713,72,111.7054350274048
604761.7960108366,7422261.798901606,Fault_15497,929,65,111.7054350274048
530640.7757684045,7460761.968108887,Fault_16397,1879,653,6.238976908356705
532042.551168513,7460022.01649907,Fault_16397,429,120,6.238976908356705
620484.0528554978,7470144.222867945,Fault_16398,-376,205,12.028587929218936
635712.3652613591,7467292.759416683,Fault_16398,474,98,192.02858792921893
636712.2465509594,7466906.5568721,Fault_16398,394,87,192.02858792921893
639837.1984339411,7466023.111048329,Fault_16398,346,73,192.02858792921893
570270.7196572843,7429757.688803238,Fault_16437,1260,144,223.29383598341886
572048.7914264277,7428432.547064869,Fault_16437,978,154,223.29383598341886
568114.4441618093,7432995.580622165,Fault_16480,-382,188,46.15605407801285
570560.4647806728,7430656.860233243,Fault_16480,-1041,175,46.15605407801285
571795.8718864906,7429765.938183157,Fault_16480,-1175,213,46.15605407801285
572877.6485605172,7428740.444806935,Fault_16480,-2697,371,46.15605407801285
513626.36548385664,7464426.498595064,Fault_16502,978,182,53.686774505923815
597734.836793381,7469638.534388926,Fault_16744,-651,174,183.95826479564317
589889.3004058597,7470092.3969207825,Fault_16744,1771,244,3.9582647956431742
584757.9452248167,7470872.032797482,Fault_16744,713,85,3.9582647956431742
583860.9909440373,7470956.93238338,Fault_16744,700,100,3.9582647956431742
578421.8652070273,7470851.381357751,Fault_16744,-546,10,183.95826479564317
572467.9405938908,7470845.735814501,Fault_16744,1094,120,3.9582647956431742
571761.2437715651,7470924.6988665825,Fault_16744,711,79,3.9582647956431742
565138.4890289955,7472983.893274207,Fault_16744,-240,32,3.9582647956431742
562655.541926404,7472197.12246969,Fault_16744,652,64,183.95826479564317
565236.2597599716,7479335.374471533,Fault_16754,1273,57,34.01561679263028
564885.625563417,7479552.020601556,Fault_16754,9,0,34.01561679263028
549501.4488447952,7440168.574101071,Fault_16896,-16817,2129,33.27733702132099
549501.4488447952,7440168.574101071,Fault_16896,-30080,165,33.27733702132099
526957.031917825,7451768.548055136,Fault_16896,10,3,213.277337021321
523873.32106849673,7455926.063402729,Fault_16896,15514,2362,213.277337021321
523873.32106849673,7455926.063402729,Fault_16896,10,4,213.277337021321
521627.6925317942,7459644.911945942,Fault_16896,969,440,33.27733702132099
519616.22291753936,7463144.486423394,Fault_16896,1410,601,33.27733702132099
518992.716130965,7463751.523891594,Fault_16896,1462,671,33.27733702132099
518640.22378174536,7463896.306003764,Fault_16896,1233,406,33.27733702132099
517517.7009316555,7464215.573190801,Fault_16896,850,142,33.27733702132099
517256.19923509,7427833.62401022,Fault_6359,1,1,1
524292.18576832,7440583.40749763,Fault_6807,1,1,1
538468.26221117,7480515.58826357,Fault_7436,1,1,1
640431.63239223,7428828.08113588,Fault_7884,1,1,1
513734.60350634,7463014.18980671,Fault_15527,1,1,1
543735.71773547,7455083.95000591,Fault_16245,1,1,1
518040.43642246,7457426.80217587,Fault_17127,1,1,1
566723.28087973,7435433.86997358,Fault_307,1,1,1
529902.48198721,7464605.40200393,Fault_313,1,1,1
539431.72501272,7444088.94325265,Fault_1831,1,1,1
547179.71039046,7444568.87904873,Fault_2214,1,1,1
545309.72127688,7443379.90050888,Fault_2215,1,1,1
515670.5044444,7476711.91367855,Fault_2229,1,1,1
542821.47063177,7451857.99794682,Fault_2989,1,1,1
533737.40828303,7429465.88262976,Fault_3487,1,1,1
546245.22606685,7437147.01606545,Fault_3489,1,1,1
615866.88800446,7466722.88361037,Fault_3494,1,1,1
533227.72113686,7465777.29916842,Fault_5001,1,1,1
606698.29090465,7476689.98226057,Fault_5249,1,1,1
591731.42050802,7424043.97036069,Fault_5445,1,1,1
589783.87373143,7423714.94625988,Fault_7105,1,1,1
596290.41827952,7465679.99994548,Fault_7805,1,1,1
566537.66290011,7449916.8272636,Fault_12605,1,1,1
514214.27760268,7459401.53151935,Fault_12618,1,1,1
571177.93168936,7471840.92028696,Fault_12627,1,1,1
579998.53160966,7491861.57121131,Fault_12644,1,1,1
548771.48288559,7501629.77815787,Fault_12658,1,1,1
512715.58223162,7425917.81568263,Fault_14775,1,1,1
590827.00823735,7439461.95762095,Fault_15510,1,1,1
596022.37780852,7471432.31193762,Fault_15531,1,1,1
524558.09278295,7430452.48022588,Fault_16814,1,1,1
522079.71927133,7465806.56219287,Fault_16825,1,1,1
518782.55004140007,7454084.92072525,Fault_17031,1,1,1
