X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
512002.88637248025,7508225.369639029,Brockman_Iron_Formation,748.7634674150881,739,-0.9958336621493028,-0.09118836181393056,512458.8281815499,7503246.201328282,511546.9445634106,7513204.537949775,-999.0,full
515647.271572,7508702.940182527,Brockman_Iron_Formation,924.0341299689094,560,-0.9999999996925238,-2.4798230004956235e-05,515647.39556315,7503702.940184064,515647.14758085,7513702.940180989,37.357301082122596,full
522726.2189302421,7501307.318914096,Brockman_Iron_Formation,574.4179144836456,52,0.963547813308865,0.2675361872115712,521388.53799418424,7506125.05798064,524063.8998663,7496489.579847552,5.287203313213951,full
519804.1758967,7500745.464517785,Brockman_Iron_Formation,909.9311697306376,156,0.9544422988271282,0.2983955398620876,518312.19819738955,7505517.676011921,521296.15359601047,7495973.25302365,9.875264366582911,full
518465.31484119,7499591.695652435,Brockman_Iron_Formation,1778.6059314466775,525,0.9974518595990834,0.0713427486317304,518108.60109803133,7504578.95495043,518822.0285843487,7494604.436354439,17.183304073085168,full
542145.8739035099,7507426.408992819,Brockman_Iron_Formation,1789.812298871908,153,0.21698121788390634,0.9761757787845468,537264.9950095871,7508511.315082238,547026.7527974327,7506341.502903399,4.930648833873164,full
540458.246602545,7505160.39973582,Brockman_Iron_Formation,1796.1004065285956,352,0.8763913187070159,0.48159968489916793,538050.2481780492,7509542.356329354,542866.2450270408,7500778.443142285,11.316037255700962,full
537442.345425385,7504004.150099635,Brockman_Iron_Formation,1851.9251898052246,201,0.994664157839672,-0.10316594936846152,537958.1751722273,7508977.4708888335,536926.5156785428,7499030.829310437,6.241106507485,full
535614.0367681901,7503332.13983152,Brockman_Iron_Formation,2761.6051854263105,288,0.3162003300402612,0.9486924429352379,530870.5745535139,7504913.141481721,540357.4989828663,7501751.1381813185,5.994691638805676,full
533316.92982423,7501972.611753278,Brockman_Iron_Formation,2247.5583803990285,700,0.987695992939562,0.15638614238842438,532534.9991122879,7506911.091717976,534098.8605361722,7497034.131788581,18.167686143720132,full
530254.12493122,7501832.080240255,Brockman_Iron_Formation,1475.0276376084983,733,0.9999999997353451,2.3006727993370122e-05,530254.00989758,7506832.080238932,530254.2399648599,7496832.080241579,29.820995405429763,full
515814.85962705186,7498940.9222658025,Brockman_Iron_Formation,1883.5453065811146,1016,0.7682350924866698,0.6401678238337177,512614.0205078833,7502782.097728236,519015.69874622044,7495099.746803369,32.67401344537641,full
513949.71819559,7498269.899260915,Brockman_Iron_Formation,2332.236485776222,1559,0.8840226964858967,0.4674439774965596,511612.4983081072,7502690.0127433445,516286.93808307283,7493849.785778485,41.952160503000485,full
514887.492124165,7497198.149452222,Marra_Mamba_Iron_Formation,446.23314348421343,241,0.9257414143173398,0.3781571549207172,512996.7063495614,7501826.856523808,516778.2778987686,7492569.442380635,32.75529605507635,full
572810.4165516513,7479463.897781887,Marra_Mamba_Iron_Formation,470.875379524073,62,0.9974512899042948,0.07135071315872332,572453.6629858577,7484451.154231409,573167.1701174449,7474476.641332366,7.6622920373644945,full
570393.8047565001,7478795.745813535,Marra_Mamba_Iron_Formation,621.7306618263474,17,0.9701663861737472,0.2424400609193363,569181.6044519034,7483646.577744403,571606.0050610967,7473944.913882666,1.6374771959934407,full
569768.21466422,7477640.714696055,Marra_Mamba_Iron_Formation,1797.443709447152,96,-0.3407376558312698,0.9401584174481508,565067.4225769793,7475937.026416899,574469.0067514607,7479344.402975212,3.0836790065852995,full
570056.3546764663,7476138.535354719,Marra_Mamba_Iron_Formation,2012.617799005035,169,0.5142276750293077,0.8576537169708721,565768.086091612,7478709.673729865,574344.6232613206,7473567.396979572,4.829928402169585,full
579445.7706222951,7480272.710421866,Marra_Mamba_Iron_Formation,790.9567655526452,343,0.9870157672608992,0.16062339548888355,578642.6536448507,7485207.78925817,580248.8875997395,7475337.631585562,25.75591844852748,full
567803.32067317,7430812.383939125,Marra_Mamba_Iron_Formation,885.6304784917562,371,-0.9887619614715376,0.1494984399482394,567055.8284734288,7425868.574131767,568550.8128729112,7435756.193746482,24.811997892401507,full
570778.9114180449,7429913.21101558,Marra_Mamba_Iron_Formation,834.0866333656692,214,-0.9950167651752164,-0.09970775807452496,571277.4502084176,7424938.127189704,570280.3726276723,7434888.294841456,14.914812577038305,full
518771.44971903,7498179.445026348,Marra_Mamba_Iron_Formation,398.58355485619194,87,0.849970575103868,0.5268301637696916,516137.29890018154,7502429.297901868,521405.60053787846,7493929.592150829,12.69120478422046,full
520879.898752265,7499580.965684395,Marra_Mamba_Iron_Formation,372.97675065174127,36,0.9486078968530413,0.3164538797803711,519297.6293533632,7504324.005168661,522462.1681511669,7494837.92620013,5.655518703564724,full
519117.6187522093,7498366.247762117,Marra_Mamba_Iron_Formation,391.58104997676816,73,0.8990455635623715,0.4378550840618591,516928.3433319,7502861.475579929,521306.8941725186,7493871.019944305,10.768406848573676,full
516064.299130245,7497267.921307085,Marra_Mamba_Iron_Formation,379.8175569408691,166,0.7740549088493274,0.633118470814317,512898.70677617344,7501138.195851332,519229.89148431655,7493397.646762839,25.977806712379675,full
566219.52383141,7427389.09427494,Marra_Mamba_Iron_Formation,3085.864475647471,1216,-0.793341045740699,0.6087774512439289,563175.6365751904,7423422.389046237,569263.4110876296,7431355.799503643,23.22100354463194,full
580582.939522945,7489067.309350075,Marra_Mamba_Iron_Formation,1334.083203199337,417,-0.2618019924154081,0.9651216072430058,575757.3314867299,7487758.299387998,585408.54755916,7490376.319312152,18.230576537107325,full
581790.545702525,7487580.801967653,Marra_Mamba_Iron_Formation,1495.7904027752224,505,-0.4275969652121453,0.9039694880588413,577270.6982622307,7485442.8171415925,586310.3931428192,7489718.786793714,19.772065841337763,full
540979.6857098499,7491070.388060881,Marra_Mamba_Iron_Formation,504.07148593645894,163,-0.6288188076892739,-0.7775518677851915,544867.4450487759,7487926.294022434,537091.926370924,7494214.482099327,18.957163083716296,full
541796.24950384,7491616.39386792,Marra_Mamba_Iron_Formation,615.2764398552416,181,-0.9660279056492042,-0.2584377787921348,543088.4383978007,7486786.2543396745,540504.0606098793,7496446.533396166,17.161659357653576,full
542665.5047737199,7491860.149464213,Marra_Mamba_Iron_Formation,460.9926066434096,109,-0.3435365936007894,-0.9391392915096068,547361.201231268,7490142.46649621,537969.8083161719,7493577.832432217,13.744814464411007,full
543506.4137048586,7492671.062968055,Marra_Mamba_Iron_Formation,502.1444525144298,88,-0.9919714535071288,-0.1264619920250898,544138.7236649841,7487711.2057005195,542874.1037447331,7497630.92023559,10.202437820811085,full
544946.01838329,7493324.404472175,Marra_Mamba_Iron_Formation,667.9006928619523,91,-0.97154521644407,-0.23685415851245945,546130.2891758523,7488466.678389954,543761.7475907278,7498182.130554396,7.849936931801224,full
547031.748490365,7493296.918927222,Marra_Mamba_Iron_Formation,264.6265710634917,112,-0.9900882359186092,0.14044673401534424,546329.5148202883,7488346.477747628,547733.9821604417,7498247.360106815,25.203925808220873,full
549672.33414539,7493591.45052854,Marra_Mamba_Iron_Formation,583.2100986344802,393,-0.8676986801246468,-0.4970905355264229,552157.7868230221,7489252.957127917,547186.8814677579,7497929.943929163,42.47721455463861,full
551468.9924803551,7494004.738871477,Marra_Mamba_Iron_Formation,589.1022739488669,420,-0.98750300292668,0.15760018785137733,550680.9915410982,7489067.223856843,552256.993419612,7498942.25388611,45.58093339075636,full
554542.12908968,7493940.498247115,Marra_Mamba_Iron_Formation,375.1523743345976,240,-0.9999828113200531,0.005863195753439694,554512.8131109128,7488940.584190515,554571.4450684473,7498940.412303715,39.85549585011502,full
556025.695868335,7494317.760867225,Marra_Mamba_Iron_Formation,576.79015783733,351,-0.8003667234146007,-0.599510723882881,559023.2494877494,7490315.927250152,553028.1422489205,7498319.594484298,37.53530052217179,full
557307.7192158999,7495106.271916205,Marra_Mamba_Iron_Formation,663.9865294847671,377,-0.9314649910401328,-0.3638309641393999,559126.874036597,7490448.946961004,555488.5643952029,7499763.596871406,34.59637175068318,full
558305.6349421472,7495923.142906749,Marra_Mamba_Iron_Formation,1496.2493030498267,704,-0.3890287824305382,-0.921225600187388,562911.7629430841,7493977.998994596,553699.5069412102,7497868.286818901,28.09715384444486,full
561984.0735280251,7496885.28155936,Marra_Mamba_Iron_Formation,1085.7765628076636,269,-0.9155240982545996,-0.4022631296988357,563995.3891765192,7492307.661068087,559972.7578795309,7501462.902050633,14.377398330388743,full
564769.020114165,7497452.31546643,Marra_Mamba_Iron_Formation,991.2430782038334,319,-0.9947691833071484,0.10214828408949883,564258.2786937176,7492478.469549894,565279.7615346125,7502426.161382966,18.827096029309303,full
567260.076525455,7497073.120334567,Marra_Mamba_Iron_Formation,696.7547430240843,330,-0.9968781365503999,0.07895556261468809,566865.2987123815,7492088.729651814,567654.8543385285,7502057.511017319,28.32033772036067,full
578522.911363065,7426190.94506691,Marra_Mamba_Iron_Formation,1716.1513852074947,354,-0.8723471817544801,-0.4888868933455016,580967.3458297926,7421829.209158137,576078.4768963375,7430552.680975683,11.913012378290404,full
580014.859833805,7426830.715368445,Marra_Mamba_Iron_Formation,1693.8037923762042,387,-0.7449075559330395,-0.6671676948967671,583350.6983082888,7423106.1775887795,576679.0213593212,7430555.253148111,13.2411653399638,full
580951.8233072,7427957.547581275,Marra_Mamba_Iron_Formation,4241.657023789706,1018,0.445183793363566,-0.8954392163214797,585429.0193888074,7430183.466548093,576474.6272255926,7425731.628614457,13.890129088971847,full
581263.379940685,7428344.491563263,Marra_Mamba_Iron_Formation,2596.824823747887,678,-0.9832587893184588,-0.1822145801740324,582174.4528415551,7423428.197616671,580352.3070398149,7433260.7855098555,15.136118771835982,full
581768.58163024,7428473.377307015,Marra_Mamba_Iron_Formation,2503.110103635542,706,-0.5523007428770567,-0.8336449420571395,585936.8063405256,7425711.873592629,577600.3569199543,7431234.8810214,16.38739630265934,full
582772.660466555,7430063.07978541,Marra_Mamba_Iron_Formation,2149.1695653031306,734,-0.5135967350934814,-0.8580316973756369,587062.8189534332,7427495.0961099425,578482.5019796769,7432631.063460878,19.97890550307062,full
584102.250640845,7431516.38997848,Marra_Mamba_Iron_Formation,1125.069022632677,480,-0.734049663181635,-0.6790957899905788,587497.7295907979,7427846.141662572,580706.7716908922,7435186.638294388,25.255538854109147,full
584866.1688150249,7432431.419118905,Marra_Mamba_Iron_Formation,836.4980014409118,387,-0.8781041147475165,-0.4784696057885811,587258.5168439678,7428040.898545167,582473.820786082,7436821.9396926435,27.585813092328635,full
615229.5997954849,7447505.84475175,Marra_Mamba_Iron_Formation,667.3343907753376,336,-0.31608430961894657,-0.9487311047987802,619973.2553194788,7445925.4232036555,610485.944271491,7449086.266299845,30.267749867847094,full
616314.110377185,7449159.15391505,Marra_Mamba_Iron_Formation,276.12510289578813,122,-0.6781090779641896,-0.7349612767912038,619988.916761141,7445768.60852523,612639.303993229,7452549.699304871,26.312924739170924,full
616697.63497595,7450944.918934475,Marra_Mamba_Iron_Formation,967.8861338852754,367,-0.4469156715469687,-0.8945760909647217,621170.5154307736,7448710.34057674,612224.7545211264,7453179.497292209,22.31044140812152,full
618036.6842242995,7452130.420513455,Marra_Mamba_Iron_Formation,1026.693393293374,332,-0.3713202619887182,-0.9285048535342342,622679.2084919707,7450273.819203511,613394.1599566283,7453987.021823399,18.895554189049392,full
621437.3893921999,7454006.429969025,Marra_Mamba_Iron_Formation,1198.3844335686886,235,-0.4022708961253525,-0.9155206858015312,626014.9928212076,7451995.075488398,616859.7859631922,7456017.784449652,11.335799470405192,full
643022.249880455,7474352.190253815,Marra_Mamba_Iron_Formation,1152.0134150359274,379,0.9068075049671196,-0.42154495482131854,645129.9746545616,7478886.22777865,640914.5251063483,7469818.1527289795,19.21396961055798,full
