x,y,formation,app_th,thickness,norm_th
512002.88637248025,7508225.369639029,Brockman_Iron_Formation,748.7634674150881,739,0.9932795698924731
515647.271572,7508702.9401825275,Brockman_Iron_Formation,924.0341299689093,560,0.7526881720430108
522726.2189302421,7501307.318914096,Brockman_Iron_Formation,574.4179144836456,52,0.06989247311827956
519804.1758967,7500745.464517785,Brockman_Iron_Formation,909.9311697306376,156,0.20967741935483872
518465.31484119,7499591.695652435,Brockman_Iron_Formation,1778.6059314466775,525,0.7056451612903226
542145.8739035099,7507426.408992819,Brockman_Iron_Formation,1789.812298871908,153,0.2056451612903226
540458.246602545,7505160.39973582,Brockman_Iron_Formation,1796.1004065285956,352,0.4731182795698925
537442.345425385,7504004.150099635,Brockman_Iron_Formation,1851.9251898052246,201,0.2701612903225806
535614.0367681901,7503332.13983152,Brockman_Iron_Formation,2761.6051854263105,288,0.3870967741935484
533316.92982423,7501972.6117532775,Brockman_Iron_Formation,2247.5583803990285,700,0.9408602150537635
530254.12493122,7501832.080240255,Brockman_Iron_Formation,1475.0276376084985,733,0.9852150537634409
515814.85962705186,7498940.922265802,Brockman_Iron_Formation,1883.5453065811146,1016,1.3655913978494623
513949.71819559,7498269.899260915,Brockman_Iron_Formation,2332.236485776222,1559,2.0954301075268815
643321.687108538,7479023.0295958035,Brockman_Iron_Formation,3078.059332226709,1059,1.4233870967741935
639589.984346405,7480026.974499125,Brockman_Iron_Formation,2603.827050654583,964,1.2956989247311828
634859.38553652,7481832.50592135,Brockman_Iron_Formation,1866.3750465095495,435,0.5846774193548387
632865.81440801,7482647.530630695,Brockman_Iron_Formation,2730.825062382481,784,1.053763440860215
632455.091019865,7483283.79867304,Brockman_Iron_Formation,2772.3575632631655,922,1.239247311827957
632617.1509849101,7484873.820675205,Brockman_Iron_Formation,2017.2759978134784,738,0.9919354838709677
632637.239715055,7487331.370508425,Brockman_Iron_Formation,1560.6670862011927,672,0.9032258064516129
632339.419376285,7488047.884373875,Brockman_Iron_Formation,1191.5054411164924,549,0.7379032258064516
631180.58539057,7488491.395513315,Brockman_Iron_Formation,1472.4784565729694,744,1.0
629219.43078376,7489675.66969023,Brockman_Iron_Formation,3843.545838771766,2132,2.8655913978494625
628567.38382846,7490437.9493695125,Brockman_Iron_Formation,2728.077677852285,1497,2.0120967741935485
628466.6839000301,7492225.743503259,Brockman_Iron_Formation,2719.291619076992,1275,1.7137096774193548
628951.42892392,7493685.289089642,Brockman_Iron_Formation,2517.4323997846186,966,1.2983870967741935
628981.00638166,7495640.085200415,Brockman_Iron_Formation,3006.7187542468128,656,0.8817204301075269
629586.790554955,7497424.616529413,Brockman_Iron_Formation,3081.8745709132727,506,0.6801075268817204
630122.13560048,7497885.870620415,Brockman_Iron_Formation,4674.83895730976,799,1.0739247311827957
632210.22951648,7498418.618587228,Brockman_Iron_Formation,2000.279170943764,318,0.4274193548387097
634134.5648932201,7499421.12097409,Brockman_Iron_Formation,1903.115810033084,141,0.18951612903225806
635066.10603227,7499950.38968743,Brockman_Iron_Formation,2200.539572826201,130,0.17473118279569894
624865.9946216999,7454380.564797385,Brockman_Iron_Formation,3205.196819819035,327,0.43951612903225806
626851.930425375,7455493.495395225,Brockman_Iron_Formation,2886.3634351399896,140,0.1881720430107527
628014.2356348061,7456915.258580478,Brockman_Iron_Formation,2075.401605953508,213,0.2862903225806452
628807.830374755,7459144.02354507,Brockman_Iron_Formation,2277.0725997389795,576,0.7741935483870968
633044.601190065,7460784.1378799025,Brockman_Iron_Formation,1879.5458495016187,474,0.6370967741935484
637018.611177955,7459690.4806046225,Brockman_Iron_Formation,1187.4965856023691,292,0.3924731182795699
640643.975288245,7459447.737666788,Brockman_Iron_Formation,1190.9995517033894,645,0.8669354838709677
