#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
152,S0030673,Fe,523702.86633394,7509118.150398631,398.30,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
153,S0030698,Brt,526677.67343857,7443583.05909616,496.80,16333,15486,P_-WYm-sp,P_-WYd-kd,Strat,-1
154,S0031142,Fe,582950.21931887,7421419.86460125,309.46,5842,14314,P_-WYm-sp,P_-HAb-cib,Strat,-1
155,S0031154,Au,525357.4560801201,7444582.785577019,846.87,16333,15486,P_-WYm-sp,P_-WYd-kd,Strat,-1
156,S0031979,Fe,603797.58257201,7500614.487394591,431.71,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
157,S0031994,Fe,598709.25620464,7508794.09422456,300.18,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
158,S0031995,Fe,598884.92478316,7508122.07025728,72.84,14340,4939,A-FOj-xs-b,A-HAm-cib,Strat,-1
159,S0031996,Fe,600119.92907906,7507145.371254621,1186.49,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
160,S0032018,Cu_Au,585624.46756409,7474315.30097343,48.91,14323,5437,A-FO-od,A-FOo-bbo,IntrIgn,-1
161,S0032392,Clc,610318.03972897,7424952.63143023,135.58,14373,14373,P_-TK-s,P_-TK-s,Fault,11396
162,S0032633,Au,521809.38263207,7477226.04003511,1559.77,16190,15989,A-FOh-xs-f,A-FO-xo-a,IntrIgn,-1
163,S0032634,Asbs,527497.10317588,7489898.30186082,216.29,7580,14311,A-FOp-bs,A-FOu-bbo,Fault,12647
164,S0032638,Au,525016.32866538,7470373.27753235,1171.58,16190,9862,A-FOh-xs-f,A-FOo-bbo,Strat,-1
165,S0032639,Fe,587178.30068207,7433837.23501224,25.30,4433,14312,A-HAm-cib,A-FOj-xs-b,Strat,-1
166,S0222904,Fe,620000.00033974,7494804.84796608,482.92,4790,4939,A-HAd-kd,A-HAm-cib,Strat,-1
167,S0223038,Sd_Gvl,556491.21952321,7441091.005022489,56.96,16857,16432,A-FOr-b,A-FOh-xs-f,Strat,-1
168,S0223241,Sd_Gvl,559039.68581032,7443078.300010369,242.89,16857,16432,A-FOr-b,A-FOh-xs-f,Strat,-1
169,S0223660,Fe,600388.01091877,7445653.96241066,649.29,14311,14312,A-FOu-bbo,A-FOj-xs-b,Strat,-1
170,S0223661,Fe,598438.9831763899,7444752.949304289,486.72,14311,14312,A-FOu-bbo,A-FOj-xs-b,Strat,-1
171,S0223662,Fe,596139.00694623,7445153.981620951,644.27,14311,5442,A-FOu-bbo,A-FO-od,IntrIgn,-1
172,S0223663,Fe,591738.02892736,7446654.020354791,262.08,14830,14322,A-FO-od,A-FOp-bs,IntrIgn,-1
173,S0223930,Gvl,530831.95469848,7503754.62756952,167.30,6148,6148,P_-HAj-xci-od,P_-HAj-xci-od,Fault,3498
174,S0223931,Gvl,530991.4072372,7503960.97449676,176.52,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
175,S0223932,Gvl,532224.49587211,7504525.96995566,101.41,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
176,S0224360,Fe,560234.54149545,7493753.95111607,173.18,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
177,S0224581,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
178,S0225123,Fe,616668.39204378,7495792.10341714,237.10,4790,4939,A-HAd-kd,A-HAm-cib,Strat,-1
179,S0225124,Fe,561526.10099515,7430321.532639351,148.70,15646,15588,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
180,S0225347,Fe,524637.38982582,7496022.35990479,39.13,14311,14311,A-FOu-bbo,A-FOu-bbo,Fault,12647
181,S0225348,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
182,S0225349,Fe,602393.07170543,7507043.59796701,976.59,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
183,S0225350,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
184,S0225657,Fe,527926.9333544,7491970.093912129,258.27,14311,14311,A-FOu-bbo,A-FOu-bbo,Fault,3496
185,S0226150,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
186,S0226212,Agg,577026.84477696,7496229.140743289,190.93,8421,8422,A-FO-od,A-FOj-xs-b,IntrIgn,-1
187,S0229282,Agg,577026.84477696,7496229.140743289,190.93,8421,8422,A-FO-od,A-FOj-xs-b,IntrIgn,-1
188,S0229647,Fe,551192.23826069,7481737.45587022,538.12,7580,14311,A-FOp-bs,A-FOu-bbo,Strat,-1
189,S0230310,Fe,521925.4711444,7500877.374573209,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
190,S0230361,Fe,530030.6892413601,7462832.57203528,253.68,16774,16774,A-FOj-xs-b,A-FOj-xs-b,Fault,16825
191,S0230362,Fe,529843.85993498,7461680.66256936,303.37,14341,14341,P_-HAb-cib,P_-HAb-cib,Fault,16878
192,S0230405,Fe,576460.49483778,7480621.461118409,203.76,4681,4680,A-HAm-cib,A-HAd-kd,Fault,2996
193,S0230406,Fe,573759.8328315,7482014.647283969,237.48,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,3495
194,S0230408,Fe,620505.7697490799,7493522.294796179,478.88,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
