WKT	objectid	feature
LINESTRING (521647.7793439 7467241.05086821, 523146.2322127 7466742.517447, 524841.12022361 7466102.98980962, 526224.33113304 7465439.97006209, 527900.13926471 7464794.45048068, 529902.48198721 7464605.40200393, 532083.04050572 7464440.86034277, 534345.58907207 7464154.79890396, 536266.98610572 7463725.42816002, 536359.44032118 7463704.76077219, 538674.36701702 7463361.71676582)	313	Fault or shear zone
LINESTRING (521224.2899599 7489118.45021574, 520608.10777162 7489268.43948352, 518898.75119522 7489538.42341031)	5471	Fault or shear zone
LINESTRING (550889.79947393 7443709.80105831, 550135.57090692 7443837.82154184, 549475.97040519 7443952.83389574, 548517.45213637 7444275.34680453, 547772.8378271 7444432.35979989, 547179.71039046 7444568.87904873, 546188.62876875 7444714.9100007, 545444.11816221 7444909.40822927, 544832.40075561 7445115.90839123, 542411.09130884 7445991.92593349, 540231.21566001 7447112.95219815, 538989.01962158 7447564.00271871, 538718.0967186 7447692.00678337)	807	Fault or shear zone
LINESTRING (627577.13601661 7484556.86542482, 627191.38364012 7484119.36459263, 626759.34794281 7483481.37922227, 626362.47855817 7483058.38993924, 625881.7811486101 7482763.39968399, 625795.10086514 7482710.40208126, 624907.46625494 7482529.40994853, 624543.06887566 7482432.40987149, 624305.90194037 7482368.91067544, 623661.4068435 7482197.41416025, 621680.5700793799 7481565.40199611, 621330.46905345 7481484.39126672, 620579.02901187 7481278.37812905, 619980.18992068 7481052.38156683, 615948.25959396 7479724.99906714, 614578.88890325 7479325.6208935, 613840.0968770999 7479052.1928983)	818	Fault or shear zone
LINESTRING (589818.45088832 7481426.91119015, 588504.4485828599 7481930.40831781, 587158.55108773 7482402.42689453, 585775.61235223 7483109.94962771)	961	Fault or shear zone
LINESTRING (520020.69483805 7495438.93368951, 519762.19907704 7495904.93975594, 519433.31787936 7496282.44009632, 519021.35990318 7496577.43004279, 518014.1268507 7497123.75740697, 517847.87960707 7497213.92048382)	962	Fault or shear zone
LINESTRING (558739.44677939 7432956.27369722, 558670.18007639 7432476.25083382, 558573.7641984801 7431921.55784401, 558555.98025339 7431819.240151, 558536.68033453 7431717.74044601, 558425.8503189801 7431214.73145615, 558414.49308447 7431163.22826079, 558372.79066762 7430974.2178512, 558311.78917418 7430615.72107718, 558296.94081251 7430528.20904054, 558279.74317 7430427.20729134, 558243.42503793 7430274.21250186)	1202	Fault or shear zone
LINESTRING (569405.44260766 7496423.33170704, 569945.46092547 7495726.44085881, 570104.1808211 7495519.94871019, 570209.15799823 7495382.95616293, 570594.40913338 7494820.9712135, 570849.28487416 7494548.57317934, 571170.29524537 7494205.47330508, 571334.5429457 7494002.47989201, 571366.28056576 7493995.99071356, 572202.05069997 7493227.4976045, 573101.85181021 7492547.99421482, 573812.1510762901 7492136.50772221)	1236	Fault or shear zone
LINESTRING (534692.88943527 7447516.12007843, 536317.7726036099 7446576.04547183, 537312.46181258 7445917.98767151, 538382.09462866 7445101.45816492, 539431.72501272 7444088.94325265, 540034.45143388 7443382.91765981, 540674.31856219 7442537.41660989, 541106.90899245 7441908.41542837, 541288.1691062 7441533.89944919)	1831	Fault or shear zone
LINESTRING (566836.6297479999 7429573.98637556, 565792.03866362 7431000.83090121, 565640.20007389 7431207.82255775, 565270.90709114 7431712.32224992, 564501.99191204 7432596.79938184, 563671.87718028 7433304.26666283, 563006.32863973 7434073.75071317, 562409.63843078 7434729.23032714, 561786.66289456 7435539.46065923, 561419.44959463 7436001.21171104, 561129.50010027 7436356.73180885)	2213	Fault or shear zone
LINESTRING (548227.37947599 7440798.85949991, 547896.11485454 7441465.35771291, 547747.03008277 7441940.37233363, 547668.11219148 7442548.37118524, 547438.87067259 7443397.37810481, 547179.71039046 7444568.87904873, 546380.4393508 7446332.42068851, 545649.2504653001 7447836.45954099, 545280.8193787599 7448641.97134216, 545012.5186462899 7449282.4703671, 544376.13962199 7450778.98879267, 544229.29847218 7451684.49182652)	2214	Fault or shear zone
LINESTRING (546997.7593224 7441224.36794216, 546685.0709373 7441814.87909045, 546057.8181878 7442678.90062201, 545309.72127688 7443379.90050888, 544573.35266804 7443909.40576555, 543521.88821922 7444592.92135305, 542355.90333113 7445119.41685821, 541485.57024875 7445390.90866341)	2215	Fault or shear zone
LINESTRING (563123.60102724 7447853.79047538, 563195.04688899 7448226.7950036, 563325.39974554 7448984.79031557, 563391.9999284199 7449629.29979687, 563429.9088931 7449873.30982733, 563461.14583197 7450074.79719224, 563454.45998821 7450707.80076337, 563405.1320036401 7451225.80937451, 563343.28677357 7451425.29766984, 563320.48436318 7451498.84760728)	2219	Fault or shear zone
LINESTRING (517573.97440977 7473125.01394265, 517093.29470831 7473675.01434086, 516368.42860608 7475034.48169701, 515670.5044444 7476711.91367855, 515358.96946581 7477916.10319697, 515320.87237912 7478063.34776456, 515159.94932862 7478999.8154731)	2229	Fault or shear zone
LINESTRING (525375.30636128 7483424.96866113, 524988.58506172 7483694.46525743, 524381.21466631 7484340.47017183, 523577.77848075 7485223.46214201, 523268.12074711 7485625.95127814, 522902.44986615 7486302.46332054, 522587.88125018 7487010.96030626, 522285.26004105 7487566.45121267, 521735.34533654 7488269.45339421, 521415.01591716 7488743.45192373, 521224.2899599 7489118.45021574, 520689.08119362 7490139.43572196, 520260.74457819 7491109.44596029, 519972.78154691 7492053.43901718, 519550.39040752 7492831.92875539, 518943.53730775 7493598.92878699, 518184.84046494 7494525.92007636, 517804.77017997 7494846.41931665, 517393.62924844 7495306.91982853, 517026.31924961 7495626.90764268, 516855.68842699 7495863.41167651, 516444.34235097 7496285.90853327, 515754.79905719 7497040.40949866, 515572.22832905 7497244.41082431, 515387.88020121 7497449.91148447, 515090.68117852 7497755.41096752, 515033.51324235 7497814.39732047, 514809.95045296 7497998.90952445, 514561.90876484 7498203.89843185, 514472.00905955 7498277.88919451, 514412.7483578 7498326.90143242, 514229.46894694 7498441.40168252, 514165.47413392 7498481.40037068, 513025.75434247 7499531.38430439)	2235	Fault or shear zone
LINESTRING (576701.35997018 7486693.9144255, 576138.9475099701 7487993.5362809, 575228.8071546 7489378.5592281)	2238	Fault or shear zone
LINESTRING (512640.29950574 7497963.86951828, 511975.4630899804 7498660.649969695)	2246	Fault or shear zone
LINESTRING (643667.24215976 7432652.26119631, 644270.745067956 7432548.668614349)	2676	Fault or shear zone
LINESTRING (633042.9238830506 7421210.058449306, 633031.93022369 7421223.03891223, 632390.09875091 7421980.59151576, 631827.0617002 7422610.91106862, 631116.61032133 7423291.73167522)	2729	Fault or shear zone
LINESTRING (564593.63469283 7427461.87431926, 564268.90897958 7428047.29027099, 564151.8696226201 7428258.28021751, 564098.8093336 7428353.77874681, 563865.1694734599 7428659.76091481, 563390.7306098 7429281.75103765, 562669.94869211 7430328.21869572, 562636.25266211 7430382.5034203, 562357.7109251301 7430831.2188108, 562161.54953971 7431151.21928737, 561832.53877926 7431687.70999462, 561801.81001538 7431738.20904342, 561590.89010951 7432082.1907542, 561442.54905862 7432438.69785786, 561257.44001095 7432883.20124973, 560842.1630717301 7433880.72204056, 560386.26078261 7434561.75031623, 560308.78129483 7434677.73949515, 559636.00156454 7435412.25855418, 559597.0460816 7435454.75937353, 558955.96865975 7436117.78029967, 558489.57928335 7436500.28805846, 558206.95142948 7436685.30041967, 557311.41837575 7437220.32023819, 556882.96814188 7437445.82129141, 556051.97961848 7437882.81121035, 555316.1787648 7438519.8083214, 554706.6693824501 7439143.80986739, 554059.24954082 7439773.7942534, 553198.53438522 7440665.29299786, 552426.42951144 7441599.78406626, 551605.02082916 7442768.79218907, 551268.67088736 7443211.28109572, 550889.79947393 7443709.80105831, 550421.40149061 7444447.30983035, 550188.13920539 7444814.80509136, 549812.62155037 7445481.31554287, 549313.46171134 7446654.85044615, 548822.08731914 7448112.3945047, 548452.12979612 7449822.43066836, 548218.22807501 7450974.94948044, 549097.73826482 7450052.42838663, 549668.02069701 7449181.88947024, 550125.40809688 7448464.35968227, 550883.31964774 7447245.32867751, 552178.09027201 7444801.7778038, 552475.09882912 7444460.27851153, 553287.27891418 7443526.28658452, 554757.8834561401 7442545.78550976, 555310.2596216 7442183.27012498, 555740.40187483 7441900.77869994, 555874.09002416 7441813.28649185, 556221.54739968 7441682.7876121, 556611.98933266 7441467.29092662, 556820.12383019 7441354.41346917, 556960.50102946 7441278.28024782, 557169.86868499 7441167.27772917, 557664.64915634 7441022.7826711, 558189.97387555 7440777.77151507, 558655.79908565 7440464.77013524, 560446.02156456 7439713.26052543, 561492.50960646 7439295.237822, 561940.05811095 7439108.75758477)	2834	Fault or shear zone
LINESTRING (564391.81834914 7435442.27959232, 564929.83881763 7434636.82059848, 565079.79073783 7434325.81174591, 565317.0584604701 7433799.32037664, 565448.6300439 7433583.32147493, 565697.08333866 7433267.82508504, 567046.43005652 7430973.46807071)	2835	Fault or shear zone
LINESTRING (527900.13926471 7464794.45048068, 528261.42531241 7464537.94391328, 528781.28323111 7464197.94284349, 529370.56508811 7463755.43075062, 529921.77359474 7463313.42766765, 530662.33407081 7462583.42019243, 530906.24495378 7462247.22095322, 531009.8393847001 7462104.42069439, 531561.20931701 7461719.40915562, 531909.20969814 7461335.88804616, 532433.51345661 7460607.38391354, 532642.18714879 7460364.38686568, 532839.35786917 7460224.36942004, 533111.16889349 7460030.86095293, 533208.73962167 7459982.86100034, 533726.6238191 7459728.34289796, 533899.89213105 7459516.28654444, 536457.85557244 7456384.74972525)	2837	Fault or shear zone
LINESTRING (571353.19026803 7485676.11480959, 571493.68641712 7485294.61391117, 571945.52515138 7484343.66404932, 572597.93976109 7483491.22459058, 573665.75644067 7482807.02469608, 575067.75865719 7482086.53213402, 575935.58978929 7481661.53100116, 576554.66743375 7481358.02941807, 576792.03969006 7481283.01905675, 577280.74998189 7481128.51822507, 578049.97821041 7480976.49924012, 578242.51827107 7480931.50129641, 578917.26892959 7480773.46886547, 579544.58848238 7480699.96918527)	2840	Fault or shear zone
LINESTRING (511975.4630899804 7503207.082148803, 512019.33467082 7503183.88632349, 512378.69223974 7502790.37781566, 512482.67910213 7502680.07480504, 512803.84000718 7502339.39194001, 513018.03829121 7501955.39928763, 513106.53041648 7501796.901871, 513377.91096413 7501368.88972171, 513751.01193078 7500914.9009555, 513929.31901189 7500757.3978199, 514426.27836077 7500319.4083024, 514491.93672764 7500261.41079959, 515378.95553144 7499575.91353935, 515891.7593447 7499082.90846197, 515937.86030956 7499043.41833768, 516084.35138976 7498918.92114254, 516132.40196246 7498877.91262598, 516399.80081338 7498690.9206743, 516446.69074214 7498643.43120897, 516885.9020886 7498199.42979174, 516997.11223369 7498099.42919669, 517453.48725954 7497683.89853831, 517473.77941979 7497665.42163345, 517847.87960707 7497213.92048382, 517992.77992138 7496926.42913488, 518383.93146578 7496275.42011283, 518769.29014774 7495725.92848905, 519033.60405131 7495151.43264908, 519611.79503556 7493709.94373975, 519761.54298451 7493104.43897881, 519879.25178686 7492448.44111527, 519972.78154691 7492053.43901718)	2843	Fault or shear zone
LINESTRING (566723.28087973 7435433.86997358, 566841.29134518 7435062.87094076, 566974.8406973 7434643.37675349, 567060.25086137 7434255.38119644, 567128.2689250601 7433946.87847271, 567141.22003779 7433606.37017167, 567146.02947938 7433480.86555858, 567167.3558470201 7432266.36370675, 567163.4696816501 7432220.86835295, 567151.76612273 7432083.37357781, 567082.0984963099 7431264.87103478, 567046.43005652 7430973.46807071, 567031.7299710599 7430853.36941342, 567025.91784656 7430805.86939399, 566954.29955495 7430220.86930833, 566919.16829415 7430027.85851864, 566893.19132849 7429884.87138155, 566865.80974031 7429734.36010772, 566836.6297479999 7429573.98637556, 566826.41805486 7429517.86177462, 566682.75155295 7428901.85904293, 566677.29905664 7428878.34893572, 566719.93037166 7427727.86013516, 566700.96872632 7427254.35864477, 566697.279307 7427194.95230849, 566691.83960136 7427107.36104479, 566677.29978454 7426917.85968547, 566691.2582148199 7426797.85977852, 566745.2223323199 7426334.3695246)	2910	Fault or shear zone
