X,Y,Z,formation
544367.55807448,7472635.53950904,448.,Hardey_Formation
524662.73130987,7480154.44913802,390.,Hardey_Formation
523880.4596507,7478016.93056708,394.,Hardey_Formation
523881.70982023,7475617.39919385,416.,Hardey_Formation
524837.83082065,7473403.37933271,396.,Hardey_Formation
526146.17936975,7471709.86862759,395.,Hardey_Formation
529543.01902322,7469234.34182091,432.,Hardey_Formation
531554.29922962,7468262.31100675,444.,Hardey_Formation
531941.51958656,7468107.31040268,440.,Hardey_Formation
534965.76903623,7467518.25991393,423.,Hardey_Formation
544918.29034758,7474204.59148378,448.,Hardey_Formation
544638.71817344,7476917.64162978,459.,Hardey_Formation
545321.02219096,7477302.16138144,472.,Hardey_Formation
524662.73130987,7480154.44913802,390.,Hardey_Formation
528876.53151279,7469505.34788527,426.,Hardey_Formation
535417.41028137,7467541.25858049,423.,Hardey_Formation
538039.37953588,7467543.29831724,427.,Hardey_Formation
540722.36051195,7469122.87176404,439.,Hardey_Formation
541716.97951861,7469658.39792193,434.,Hardey_Formation
542839.54266403,7470345.95015124,437.,Hardey_Formation
543312.1006878,7471305.47949253,443.,Hardey_Formation
535417.41028137,7467541.25858049,423.,Hardey_Formation
539124.9089218169,7509272.83168071,620.,Woongarra_Rhyolite
537631.98083131,7507214.16841711,601.,Woongarra_Rhyolite
534931.55780755,7506158.15888809,591.,Woongarra_Rhyolite
531906.17116596,7504513.61882106,590.,Woongarra_Rhyolite
529213.50234506,7503780.58191013,564.,Woongarra_Rhyolite
527507.37763055,7503343.05944662,552.,Woongarra_Rhyolite
526129.42977481,7503146.04971828,544.,Woongarra_Rhyolite
520967.45085503,7502533.48075976,535.,Woongarra_Rhyolite
517626.97828778,7501568.43814848,517.,Woongarra_Rhyolite
516208.02962235,7501404.43047966,519.,Woongarra_Rhyolite
514400.42804629,7501076.89881792,520.,Woongarra_Rhyolite
513377.91096413,7501368.8897217,508.,Woongarra_Rhyolite
513129.05064932,7501185.38921255,508.,Woongarra_Rhyolite
512523.39915667,7500870.37710932,520.,Woongarra_Rhyolite
511975.4630899804,7506939.325580061,506.,Woongarra_Rhyolite
512507.9000697,7506955.39951656,524.,Woongarra_Rhyolite
512959.7419368,7507022.90165453,575.,Woongarra_Rhyolite
513462.9393362,7507185.91055258,628.,Woongarra_Rhyolite
515160.65759169,7507131.92940435,653.,Woongarra_Rhyolite
516974.9890658,7507529.45094189,562.,Woongarra_Rhyolite
517884.80923452,7507626.45950068,571.,Woongarra_Rhyolite
520459.12053555,7507962.49975585,553.,Woongarra_Rhyolite
524135.41150407,7508571.05088616,557.,Woongarra_Rhyolite
527150.5723234,7509258.60082591,592.,Woongarra_Rhyolite
561014.30847814,7431905.70995782,355.,Marra_Mamba_Iron_Formation
561604.76016494,7431749.20037511,354.,Marra_Mamba_Iron_Formation
560586.17835658,7432077.20946203,359.,Marra_Mamba_Iron_Formation
513598.32002118,7461557.0805105,381.,Woongarra_Rhyolite
513724.60876135,7463049.58136147,340.,Woongarra_Rhyolite
513404.0726548,7461945.59045463,381.,Woongarra_Rhyolite
644270.745067956,7486103.345992408,773.,Woongarra_Rhyolite
640561.61151387,7486301.36049577,784.,Woongarra_Rhyolite
638345.69957347,7487800.38224991,744.,Woongarra_Rhyolite
637726.47871976,7489429.90928702,731.,Woongarra_Rhyolite
636227.49085164,7490277.43881004,718.,Woongarra_Rhyolite
635640.88175096,7490798.46137337,723.,Woongarra_Rhyolite
634891.32942228,7493731.5285116,746.,Woongarra_Rhyolite
637139.84946333,7495719.58074625,736.,Woongarra_Rhyolite
642549.39977956,7496045.59041951,741.,Woongarra_Rhyolite
643559.60103035,7496143.09078598,734.,Woongarra_Rhyolite
631883.80104868,7451696.21085566,612.,Woongarra_Rhyolite
632603.63939943,7450503.14847373,614.,Woongarra_Rhyolite
633461.05968789,7449599.11909023,591.,Woongarra_Rhyolite
635463.34011508,7446542.74122899,594.,Woongarra_Rhyolite
637130.26041336,7445520.36017346,595.,Woongarra_Rhyolite
638797.07822912,7442375.979435,595.,Woongarra_Rhyolite
608788.3507328359,7421210.058449306,455.,Woongarra_Rhyolite
606686.45782167,7421627.5694355,425.,Woongarra_Rhyolite
604889.05952848,7422528.15177112,429.,Woongarra_Rhyolite
602182.45831874,7423854.28067358,461.,Woongarra_Rhyolite
595604.36807,7427526.30033134,548.,Woongarra_Rhyolite
594342.06026284,7430370.86199422,545.,Woongarra_Rhyolite
