WKT	geopnt_id	dip	azimuth2
POINT (524637.83778523 7473360.27406998)	18884	27	422.0
POINT (528631.13080443 7469690.22309406)	18885	24	391.0
POINT (540725.84401231 7470363.77271097)	18886	60	147.0
POINT (543147.0086099301 7470396.83694053)	18887	15	125.0
POINT (540923.1197414 7464689.07660613)	18888	40	363.0
POINT (536338.31045942 7467537.1106654)	18889	45	362.0
POINT (529639.04213407 7466387.22108766)	18890	58	383.0
POINT (530378.53979579 7460411.25246547)	18891	45	161.0
POINT (522813.80336427 7459671.8431486)	18892	36	363.0
POINT (555597.78176384 7462109.1895856)	18893	0	102.0
POINT (549484.7095727701 7461117.38685223)	18894	15	371.0
POINT (552990.37541696 7465378.70850596)	18895	0	163.0
POINT (545223.01655008 7475727.05264709)	18896	35	436.0
POINT (549386.04743933 7474527.11731595)	18897	10	435.0
POINT (554781.52439294 7475058.76273669)	18898	0	440.0
POINT (559486.8888063401 7475661.29293744)	18899	0	434.0
POINT (547742.67588526 7479703.67071575)	18900	25	409.0
POINT (545836.49343094 7478148.11843409)	18901	15	428.0
POINT (550629.45033249 7482157.73377273)	18902	46	390.0
POINT (553784.61691641 7482787.75940606)	18903	40	390.0
POINT (563693.69371077 7481823.86220332)	18904	0	393.0
POINT (555570.3090945201 7486441.29580547)	18905	50	382.0
POINT (554912.99402906 7485625.28562051)	18906	70	384.0
POINT (544406.7446958 7485143.19779223)	18907	50	379.0
POINT (559180.0624804 7491409.85808041)	18908	48	168.0
POINT (554304.93348599 7496947.32598323)	18909	35	168.0
POINT (545557.03288211 7494696.21808249)	18910	15	362.0
POINT (560867.20522126 7497862.36187853)	18911	10	366.0
POINT (553905.120414 7505481.85031989)	18912	0	148.0
POINT (562663.9448064 7506741.50979555)	18913	11	430.0
POINT (568136.08559788 7495819.47677224)	18945	42	448.0
POINT (575191.41155507 7498678.65102533)	18946	10	392.0
POINT (583385.95782149 7491990.64495061)	18947	15	406.0
POINT (574161.57746793 7481862.52758736)	18948	12	385.0
POINT (565890.234778 7482869.9099118)	18949	0	175.0
POINT (573728.81307158 7483412.53957131)	18950	84	407.0
POINT (576478.68607538 7471509.35073342)	18951	18	435.0
POINT (578434.21399071 7470572.79411047)	18952	42	442.0
POINT (576621.10831436 7466031.68814584)	18953	0	115.0
POINT (566027.24048775 7462810.14144478)	18954	0	394.0
POINT (584098.31303461 7468967.64082579)	18955	14	123.0
POINT (590638.75510051 7468628.17705614)	18956	10	443.0
POINT (597151.78192189 7466721.69788408)	18957	10	388.0
