GROUP_,id,x,y,z,code
Fortescue Group,14341,570210.84045372,7436929.47135727,423.,Mount_Roe_Basalt
Fortescue Group,14341,570729.84153344,7437115.99043173,422.,Mount_Roe_Basalt
Fortescue Group,14341,570825.35050141,7437254.48834189,422.,Mount_Roe_Basalt
Fortescue Group,14341,570832.85126522,7437475.48034002,424.,Mount_Roe_Basalt
Fortescue Group,14341,570739.15889438,7437665.98181922,424.,Mount_Roe_Basalt
Fortescue Group,14341,570588.06924112,7437774.48006325,424.,Mount_Roe_Basalt
Fortescue Group,14341,570392.76832947,7437876.97027401,408.,Mount_Roe_Basalt
Fortescue Group,14341,570229.26029845,7438023.47916556,408.,Mount_Roe_Basalt
Fortescue Group,14341,570027.81110438,7438151.47136448,408.,Mount_Roe_Basalt
Fortescue Group,14341,569813.43107451,7438228.45921975,415.,Mount_Roe_Basalt
Fortescue Group,14341,569554.50185288,7438249.46027127,415.,Mount_Roe_Basalt
Fortescue Group,14341,569276.54019538,7438250.93811126,415.,Mount_Roe_Basalt
Fortescue Group,14341,569087.29153179,7438302.95054613,432.,Mount_Roe_Basalt
Fortescue Group,14341,568942.41922033,7438373.42969213,432.,Mount_Roe_Basalt
Fortescue Group,14341,568860.60958472,7438437.44243908,432.,Mount_Roe_Basalt
Fortescue Group,14341,568639.91798306,7438520.93103971,432.,Mount_Roe_Basalt
Fortescue Group,14341,569033.46531178,7438874.2527025,432.,Mount_Roe_Basalt
Fortescue Group,14341,569534.97128155,7439324.45921991,412.,Mount_Roe_Basalt
Fortescue Group,14341,569302.45819936,7439553.95053812,418.,Mount_Roe_Basalt
Fortescue Group,14341,569018.81862657,7439688.45121364,419.,Mount_Roe_Basalt
Fortescue Group,14341,568640.11136352,7439747.94074458,419.,Mount_Roe_Basalt
Fortescue Group,14341,568135.63128402,7439921.91836282,424.,Mount_Roe_Basalt
Fortescue Group,14341,567781.86021275,7439924.3996023,424.,Mount_Roe_Basalt
Fortescue Group,14341,567440.51944499,7439894.90867723,424.,Mount_Roe_Basalt
Fortescue Group,14341,567112.72064761,7440023.38072958,440.,Mount_Roe_Basalt
Fortescue Group,14341,566702.69854194,7440139.87102038,429.,Mount_Roe_Basalt
Fortescue Group,14341,606698.29090465,7476689.98226056,607.,Hardey_Formation
Fortescue Group,14341,606868.34952987,7476545.96995162,607.,Hardey_Formation
Fortescue Group,14341,607152.95199967,7476474.45867629,607.,Hardey_Formation
Fortescue Group,14341,607615.43075936,7476456.96089091,629.,Hardey_Formation
Fortescue Group,14341,614877.6507737,7475295.1096186,637.,Hardey_Formation
Fortescue Group,14341,614643.40896324,7475525.12069923,633.,Hardey_Formation
Fortescue Group,14341,614301.17136255,7475781.66903135,644.,Hardey_Formation
Fortescue Group,14341,614034.94851989,7475967.70157325,644.,Hardey_Formation
Fortescue Group,14341,613698.83023192,7476179.73874442,644.,Hardey_Formation
Fortescue Group,14341,613286.47758239,7476398.28951532,759.,Hardey_Formation
Fortescue Group,14341,613051.8795534,7476546.31123924,759.,Hardey_Formation
Fortescue Group,14341,612868.05957313,7476680.81843,759.,Hardey_Formation
Fortescue Group,14341,612754.55067629,7476885.32055895,781.,Hardey_Formation
Fortescue Group,14341,612736.10960033,7477018.82047335,781.,Hardey_Formation
Fortescue Group,14341,612749.47956425,7477152.31726456,781.,Hardey_Formation
Fortescue Group,14341,612858.21990186,7477285.31095622,781.,Hardey_Formation
Fortescue Group,14341,613030.30173108,7477354.79888396,781.,Hardey_Formation
Fortescue Group,14341,613291.4096672,7477429.26895977,781.,Hardey_Formation
Fortescue Group,14341,613590.69917781,7477504.23831827,768.,Hardey_Formation
Fortescue Group,14341,613839.22898504,7477611.20085185,744.,Hardey_Formation
Fortescue Group,14341,614877.6507737,7475295.1096186,637.,Hardey_Formation
Fortescue Group,14341,606698.29090465,7476689.98226056,607.,Hardey_Formation
Fortescue Group,14341,608113.54170667,7476367.94940903,606.,Hardey_Formation
Fortescue Group,14341,607757.75832847,7476207.9598875,597.,Hardey_Formation
Fortescue Group,14341,607579.9189627,7476029.94868712,597.,Hardey_Formation
Fortescue Group,14341,607490.99805813,7475745.44807606,597.,Hardey_Formation
Fortescue Group,14341,607490.98973549,7475353.94048152,600.,Hardey_Formation
Fortescue Group,14341,607633.28926904,7475069.42732488,600.,Hardey_Formation
Fortescue Group,14341,607953.48948556,7474695.93017215,602.,Hardey_Formation
Fortescue Group,14341,608878.51835275,7474108.89937682,601.,Hardey_Formation
Fortescue Group,14341,609357.64048176,7474001.40031814,601.,Hardey_Formation
Fortescue Group,14341,609370.36174834,7474007.38879744,593.,Hardey_Formation
Fortescue Group,14341,609542.00144632,7473981.3912928,593.,Hardey_Formation
Fortescue Group,14341,609643.58154525,7473948.90177066,593.,Hardey_Formation
Fortescue Group,14341,609732.44098334,7473910.39126435,593.,Hardey_Formation
Fortescue Group,14341,609859.01116058,7473782.37828869,593.,Hardey_Formation
Fortescue Group,14341,609985.39037792,7473609.88863053,593.,Hardey_Formation
Fortescue Group,14341,610111.46005795,7473373.38029967,594.,Hardey_Formation
Fortescue Group,14341,610307.390901,7473117.88876448,594.,Hardey_Formation
Fortescue Group,14341,611048.34144419,7472470.88044662,591.,Hardey_Formation
Fortescue Group,14341,611384.07799098,7472208.38037449,582.,Hardey_Formation
Fortescue Group,14341,611681.77081773,7471951.88103201,612.,Hardey_Formation
Fortescue Group,14341,611909.53054949,7471702.38054124,612.,Hardey_Formation
Fortescue Group,14341,612162.40883075,7471382.86808079,610.,Hardey_Formation
Fortescue Group,14341,612433.85862219,7470954.88139476,610.,Hardey_Formation
Fortescue Group,14341,612680.60248182,7470692.8805369,584.,Hardey_Formation
Fortescue Group,14341,613219.0782943,7470256.8495207,600.,Hardey_Formation
Fortescue Group,14341,613536.51859333,7470146.83982338,582.,Hardey_Formation
Fortescue Group,14341,613758.86999667,7470082.31810192,582.,Hardey_Formation
Fortescue Group,14341,614184.66925872,7470022.30076894,587.,Hardey_Formation
Fortescue Group,14341,614578.70947503,7469975.76962027,587.,Hardey_Formation
Fortescue Group,14341,615011.09901193,7469960.75035292,587.,Hardey_Formation
Fortescue Group,14341,615596.29001406,7469970.21910516,573.,Hardey_Formation
Fortescue Group,14341,616104.98053784,7469954.69087512,571.,Hardey_Formation
Fortescue Group,14341,616797.85247483,7469874.65950845,572.,Hardey_Formation
Fortescue Group,14341,617401.63111515,7469794.64080308,567.,Hardey_Formation
Fortescue Group,14341,618075.41142335,7469727.60079769,574.,Hardey_Formation
Fortescue Group,14341,618577.49907527,7469661.07805813,574.,Hardey_Formation
Fortescue Group,14341,619282.77950343,7469523.52963098,576.,Hardey_Formation
Fortescue Group,14341,619797.47159264,7469431.50227784,571.,Hardey_Formation
Fortescue Group,14341,620255.33019563,7469416.45997692,577.,Hardey_Formation
Fortescue Group,14341,620662.59900278,7469471.42117671,577.,Hardey_Formation
Fortescue Group,14341,620797.07111963,7469655.40946889,573.,Hardey_Formation
Fortescue Group,14341,620803.9898358,7469782.38781724,573.,Hardey_Formation
Fortescue Group,14341,620766.74089219,7469960.88031009,573.,Hardey_Formation
Fortescue Group,14341,620449.6895536,7470159.88884969,575.,Hardey_Formation
Fortescue Group,14341,620425.89994767,7470497.37150777,576.,Hardey_Formation
Fortescue Group,14341,620357.28881109,7470783.84724791,576.,Hardey_Formation
Fortescue Group,14341,620212.15906501,7471020.3395311,589.,Hardey_Formation
Fortescue Group,14341,619927.22016767,7471276.31894847,585.,Hardey_Formation
Fortescue Group,14341,619667.5496354,7471487.80856396,585.,Hardey_Formation
Fortescue Group,14341,619338.01063894,7471725.31040042,627.,Hardey_Formation
Fortescue Group,14341,619014.93049091,7471987.77826373,627.,Hardey_Formation
Fortescue Group,14341,618723.65989026,7472250.26264704,629.,Hardey_Formation
Fortescue Group,14341,618597.22810441,7472403.75058984,604.,Hardey_Formation
Fortescue Group,14341,618528.39286595,7472633.22099784,604.,Hardey_Formation
Fortescue Group,14341,618510.63965291,7472913.21187144,614.,Hardey_Formation
Fortescue Group,14341,618480.11978196,7473187.20172071,614.,Hardey_Formation
Fortescue Group,14341,618417.68961617,7473423.20166787,614.,Hardey_Formation
Fortescue Group,14341,618285.21995047,7473646.71060739,637.,Hardey_Formation
Fortescue Group,14341,618069.63907667,7473768.71157924,637.,Hardey_Formation
Fortescue Group,14341,617796.41943994,7473827.73841044,616.,Hardey_Formation
Fortescue Group,14341,617497.37092441,7473810.28911114,616.,Hardey_Formation
Fortescue Group,14341,617210.87133754,7473754.32199907,627.,Hardey_Formation
Fortescue Group,14341,616930.84889945,7473717.85074325,627.,Hardey_Formation
Fortescue Group,14341,616784.97031628,7473801.38115388,627.,Hardey_Formation
Fortescue Group,14341,616614.30941697,7474024.89094955,636.,Hardey_Formation
Fortescue Group,14341,616386.42011551,7474248.92138574,673.,Hardey_Formation
Fortescue Group,14341,616132.30062623,7474313.96104712,673.,Hardey_Formation
Fortescue Group,14341,615928.79133864,7474321.47042711,634.,Hardey_Formation
Fortescue Group,14341,615794.81857639,7474233.50101595,634.,Hardey_Formation
Fortescue Group,14341,615610.17991804,7474196.03024539,614.,Hardey_Formation
Fortescue Group,14341,615477.19875289,7474311.54172176,634.,Hardey_Formation
Fortescue Group,14341,615388.87967119,7474477.54732318,634.,Hardey_Formation
Fortescue Group,14341,615294.57007099,7474694.05938532,632.,Hardey_Formation
Fortescue Group,14341,615212.95032903,7474911.06940382,637.,Hardey_Formation
Fortescue Group,14341,615175.06141554,7474981.56839006,637.,Hardey_Formation
Fortescue Group,14341,608113.54170667,7476367.94940903,606.,Hardey_Formation
Fortescue Group,14341,603951.05093101,7476474.9901945,614.,Hardey_Formation
Fortescue Group,14341,605134.70077623,7476462.98148375,610.,Hardey_Formation
Fortescue Group,14341,614069.53089092,7477877.17065896,744.,Hardey_Formation
Fortescue Group,14341,614293.36074565,7478143.14043286,744.,Hardey_Formation
Fortescue Group,14341,614435.15205773,7478524.12034102,663.,Hardey_Formation
Fortescue Group,14341,614499.61860185,7478708.62219853,663.,Hardey_Formation
Fortescue Group,14341,614538.82167044,7478937.62148363,640.,Hardey_Formation
Fortescue Group,14341,614545.26031383,7478943.62385144,640.,Hardey_Formation
Fortescue Group,14341,614578.88890325,7479325.62089349,640.,Hardey_Formation
Fortescue Group,14341,615948.25959396,7479724.99906714,643.,Hardey_Formation
Fortescue Group,14341,616019.00902134,7479890.51038781,643.,Hardey_Formation
Fortescue Group,14341,616249.5698291,7480226.48063183,673.,Hardey_Formation
Fortescue Group,14341,616256.26969934,7480308.99006312,673.,Hardey_Formation
Fortescue Group,14341,616180.69980138,7480456.00864662,673.,Hardey_Formation
Fortescue Group,14341,616034.91773116,7480571.02029857,713.,Hardey_Formation
Fortescue Group,14341,615806.48110049,7480674.537375,713.,Hardey_Formation
Fortescue Group,14341,615406.32120648,7480778.5817382,713.,Hardey_Formation
Fortescue Group,14341,614986.5384254,7480780.60821687,648.,Hardey_Formation
Fortescue Group,14341,614578.74917889,7480623.64285204,639.,Hardey_Formation
Fortescue Group,14341,614183.23070264,7480377.66734858,639.,Hardey_Formation
Fortescue Group,14341,613736.43901442,7480049.20989742,637.,Hardey_Formation
