X,Y,Z,angle,lsx,lsy,formation,group
512002.8863724802,7508225.369639029,522.,84.76802364678299,-0.9958336621493027,-0.09118836181393057,Brockman_Iron_Formation,Hamersley_Group
515647.271572,7508702.940182526,551.,89.99857916608119,-0.9999999996925238,-2.4798230004956235e-05,Brockman_Iron_Formation,Hamersley_Group
522726.2189302421,7501307.318914096,569.,74.4822919122828,0.963547813308865,0.2675361872115712,Brockman_Iron_Formation,Hamersley_Group
519804.1758967,7500745.464517785,641.,72.63873900978491,0.9544422988271282,0.2983955398620876,Brockman_Iron_Formation,Hamersley_Group
518465.31484119,7499591.695652435,524.,85.9088861030081,0.9974518595990834,0.0713427486317304,Brockman_Iron_Formation,Hamersley_Group
542770.98062372,7509160.911804105,822.,50.14628193454341,0.7676830466157945,0.6408297277270242,Brockman_Iron_Formation,Hamersley_Group
542145.8739035099,7507426.4089928195,740.,12.531787009359382,0.21698121788390634,0.9761757787845469,Brockman_Iron_Formation,Hamersley_Group
540458.246602545,7505160.39973582,649.,61.21006782843381,0.8763913187070159,0.481599684899168,Brockman_Iron_Formation,Hamersley_Group
537442.345425385,7504004.150099635,754.,95.92150931923446,0.9946641578396721,-0.10316594936846152,Brockman_Iron_Formation,Hamersley_Group
535614.0367681901,7503332.13983152,746.,18.43329183360714,0.3162003300402612,0.948692442935238,Brockman_Iron_Formation,Hamersley_Group
533316.92982423,7501972.611753279,648.,81.00280318513803,0.987695992939562,0.15638614238842438,Brockman_Iron_Formation,Hamersley_Group
530254.12493122,7501832.080240255,574.,89.99868181158546,0.9999999997353451,2.300672799337012e-05,Brockman_Iron_Formation,Hamersley_Group
515814.85962705186,7498940.922265802,523.,50.19566516170441,0.7682350924866698,0.6401678238337177,Brockman_Iron_Formation,Hamersley_Group
513949.71819559,7498269.899260915,560.,62.13149290556002,0.8840226964858967,0.4674439774965596,Brockman_Iron_Formation,Hamersley_Group
512026.43071999017,7497613.079201628,619.,57.23638607238878,0.8409104494371569,0.5411742935759226,Brockman_Iron_Formation,Hamersley_Group
514887.492124165,7497198.149452221,538.,67.78042078268705,0.9257414143173398,0.3781571549207172,Marra_Mamba_Iron_Formation,Hamersley_Group
555580.09038758,7433288.339601114,370.,111.54416595039706,-0.93013477732035,0.36721832200915944,Marra_Mamba_Iron_Formation,Hamersley_Group
572810.4165516513,7479463.897781888,677.,85.90842860332182,0.9974512899042949,0.07135071315872332,Marra_Mamba_Iron_Formation,Hamersley_Group
570393.8047565001,7478795.7458135355,725.,75.96940039693544,0.9701663861737473,0.2424400609193363,Marra_Mamba_Iron_Formation,Hamersley_Group
569768.21466422,7477640.714696055,706.,160.07817758727964,-0.3407376558312698,0.9401584174481507,Marra_Mamba_Iron_Formation,Hamersley_Group
570056.3546764663,7476138.535354719,749.,30.94584567258105,0.5142276750293077,0.857653716970872,Marra_Mamba_Iron_Formation,Hamersley_Group
540643.9091729249,7437910.904749645,398.,78.11085863778648,-0.978548047136003,-0.20601873566817883,Marra_Mamba_Iron_Formation,Hamersley_Group
542437.890003205,7437904.4006278645,396.,108.395512893948,-0.9489007287177937,0.3155747249683342,Marra_Mamba_Iron_Formation,Hamersley_Group
543425.50933126,7437710.150265019,394.,84.27302249346376,-0.9950086953249335,-0.09978825696330165,Marra_Mamba_Iron_Formation,Hamersley_Group
544565.3646935751,7437522.1499526,390.,82.20988111068449,-0.9907712309627309,-0.1355447081098882,Marra_Mamba_Iron_Formation,Hamersley_Group
546812.68012681,7437379.63594443,466.,91.0284282041824,-0.9998389127987004,0.01794849446367141,Marra_Mamba_Iron_Formation,Hamersley_Group
547910.35500663,7437327.878595965,506.,124.0579323477876,-0.8284717432153338,0.5600308658402197,Marra_Mamba_Iron_Formation,Hamersley_Group
540335.4710036479,7437749.650883857,379.,32.91294951747949,-0.5433642000028708,-0.8394970793011971,Marra_Mamba_Iron_Formation,Hamersley_Group
579445.7706222951,7480272.710421866,765.,80.75691783450063,0.9870157672608993,0.16062339548888355,Marra_Mamba_Iron_Formation,Hamersley_Group
577383.239699995,7480215.265455024,704.,93.16288037925663,0.9984767191434952,-0.05517464389048371,Marra_Mamba_Iron_Formation,Hamersley_Group
574998.665116995,7480263.271320315,711.,85.02927098745403,0.9962390937890517,0.08664680032389516,Marra_Mamba_Iron_Formation,Hamersley_Group
567803.32067317,7430812.383939125,421.,98.597861547482,-0.9887619614715377,0.1494984399482394,Marra_Mamba_Iron_Formation,Hamersley_Group
570778.9114180449,7429913.21101558,571.,84.27765785785624,-0.9950167651752165,-0.09970775807452496,Marra_Mamba_Iron_Formation,Hamersley_Group
570937.62509443,7430984.4692622945,425.,78.66925078376876,-0.9805093579234618,-0.19647238743528478,Marra_Mamba_Iron_Formation,Hamersley_Group
518771.44971903,7498179.445026349,523.,58.20846911378257,0.849970575103868,0.5268301637696916,Marra_Mamba_Iron_Formation,Hamersley_Group
524135.08971839,7500069.250304085,545.,72.05171071300549,0.9513350236152789,0.3081585190172692,Marra_Mamba_Iron_Formation,Hamersley_Group
522413.2892032251,7499760.690286371,563.,95.66118228540292,0.9951226304151187,-0.0986455799095686,Marra_Mamba_Iron_Formation,Hamersley_Group
520879.898752265,7499580.965684395,547.,71.55139448134912,0.9486078968530413,0.3164538797803711,Marra_Mamba_Iron_Formation,Hamersley_Group
519117.6187522093,7498366.247762116,521.,64.03289305148172,0.8990455635623715,0.4378550840618591,Marra_Mamba_Iron_Formation,Hamersley_Group
